3 Early M,0 Mid M,1 Late M,7 Expanding M,10 Senescent M,5 Early E,4 Abaxial E,6 Adaxial E,13 Expanding E,8 Senescent E,14 Guard cell,2 Vasculature,11 PPP,9 Phloem,16 Myrosinase,12 S phase,15 G2M phase
AT1G04953,AT1G01046,AT1G07117,AT1G01530,AT1G01040,AT1G04497,AT1G02110,AT1G02110,AT1G01040,AT1G01040,AT1G01150,AT1G06673,AT1G01440,AT1G01046,AT1G01350,AT1G01530,AT1G01450
AT1G05307,AT1G06673,AT1G07137,AT1G03200,AT1G01970,AT1G05250,AT1G05733,AT1G02500,AT1G01046,AT1G01350,AT1G01260,AT1G06727,AT1G01530,AT1G02010,AT1G01530,AT1G01750,AT1G02050
AT1G06417,AT1G07537,AT1G07333,AT1G06727,AT1G02500,AT1G05307,AT1G06293,AT1G04293,AT1G01320,AT1G01750,AT1G02050,AT1G07193,AT1G02470,AT1G03200,AT1G02430,AT1G02100,AT1G02910
AT1G06987,AT1G20470,AT1G08237,AT1G07117,AT1G03060,AT1G06617,AT1G06347,AT1G04547,AT1G01970,AT1G02110,AT1G02260,AT1G32520,AT1G03240,AT1G03240,AT1G03100,AT1G02470,AT1G03100
AT1G07317,AT1G33010,AT1G11860,AT1G07537,AT1G03810,AT1G06977,AT1G06653,AT1G05733,AT1G02110,AT1G02890,AT1G02280,AT1G36085,AT1G04293,AT1G03810,AT1G03510,AT1G03475,AT1G03470
AT1G07457,AT1G36756,AT1G20470,AT1G08367,AT1G03830,AT1G07017,AT1G06667,AT1G06347,AT1G02280,AT1G03060,AT1G02430,AT1G43825,AT1G05047,AT1G03910,AT1G03530,AT1G03510,AT1G03560
AT1G07463,AT1G37113,AT1G23720,AT1G08647,AT1G04027,AT1G07583,AT1G06673,AT1G06417,AT1G02500,AT1G03810,AT1G02910,AT1G49225,AT1G05070,AT1G03930,AT1G03810,AT1G04053,AT1G04057
AT1G07777,AT1G45242,AT1G25150,AT1G08813,AT1G04050,AT1G07637,AT1G07193,AT1G06447,AT1G04117,AT1G03910,AT1G03200,AT1G49230,AT1G05410,AT1G04027,AT1G04003,AT1G04157,AT1G04063
AT1G08237,AT1G47580,AT1G29910,AT1G12020,AT1G04063,AT1G07777,AT1G07243,AT1G06623,AT1G04303,AT1G04027,AT1G03560,AT1G53683,AT1G05783,AT1G04083,AT1G04050,AT1G04303,AT1G04163
AT1G08333,AT1G59453,AT1G36030,AT1G29435,AT1G04083,AT1G07893,AT1G07293,AT1G06777,AT1G05087,AT1G04053,AT1G04057,AT1G60989,AT1G05867,AT1G04157,AT1G04160,AT1G04577,AT1G04297
AT1G08707,AT2G04005,AT1G36325,AT1G29440,AT1G04163,AT1G08253,AT1G07763,AT1G07123,AT1G05250,AT1G04083,AT1G04163,AT1G64585,AT1G06147,AT1G04343,AT1G04353,AT1G04893,AT1G04423
AT1G08807,AT2G04825,AT1G36922,AT1G29500,AT1G04293,AT1G08397,AT1G07777,AT1G07243,AT1G05343,AT1G04300,AT1G04277,AT1G69588,AT1G06148,AT1G04413,AT1G04400,AT1G05313,AT1G04430
AT1G09353,AT2G04835,AT1G36925,AT1G29910,AT1G04390,AT1G08537,AT1G07893,AT1G07777,AT1G05640,AT1G04343,AT1G04293,AT1G74088,AT1G06327,AT1G05087,AT1G04620,AT1G05640,AT1G04673
AT1G09443,AT2G05245,AT1G37010,AT1G32337,AT1G04400,AT1G08833,AT1G08077,AT1G07893,AT1G05670,AT1G04423,AT1G04425,AT2G04066,AT1G06347,AT1G05200,AT1G04893,AT1G05817,AT1G04923
AT1G09477,AT2G05905,AT1G37113,AT1G34110,AT1G04413,AT1G09113,AT1G08833,AT1G09137,AT1G05927,AT1G04577,AT1G04510,AT2G06725,AT1G06387,AT1G05343,AT1G04985,AT1G05887,AT1G05035
AT1G24822,AT2G05995,AT1G39070,AT1G39060,AT1G04510,AT1G09583,AT1G09245,AT1G09310,AT1G06407,AT1G04587,AT1G04577,AT2G06745,AT1G06543,AT1G05760,AT1G05043,AT1G05893,AT1G05150
AT1G25055,AT2G07195,AT1G40086,AT1G44940,AT1G04977,AT1G09977,AT1G11350,AT1G09477,AT1G06653,AT1G04790,AT1G04587,AT2G07545,AT1G06583,AT1G05793,AT1G05150,AT1G06093,AT1G05760
AT1G25097,AT2G07724,AT1G40087,AT1G47580,AT1G05410,AT1G19550,AT1G21980,AT1G09857,AT1G06777,AT1G04860,AT1G04590,AT2G07713,AT1G06587,AT1G06147,AT1G05200,AT1G06147,AT1G05873
AT1G25098,AT2G10940,AT1G40090,AT1G50055,AT1G05460,AT1G20280,AT1G22250,AT1G11303,AT1G06783,AT1G04977,AT1G04673,AT2G07763,AT1G06723,AT1G06148,AT1G05240,AT1G06293,AT1G06293
AT1G28920,AT2G12205,AT1G43100,AT1G53687,AT1G05830,AT1G21864,AT1G24822,AT1G11350,AT1G06903,AT1G05047,AT1G04893,AT3G02075,AT1G06907,AT1G06293,AT1G05343,AT1G06577,AT1G06543
AT1G29370,AT3G06245,AT1G43320,AT1G54950,AT1G05867,AT1G30974,AT1G24851,AT1G11410,AT1G06973,AT1G05200,AT1G04953,AT3G04100,AT1G07133,AT1G06327,AT1G05363,AT1G06623,AT1G06657
AT1G30140,AT3G06955,AT1G43665,AT1G58260,AT1G05927,AT1G32713,AT1G29460,AT1G11785,AT1G07193,AT1G05343,AT1G04985,AT3G23380,AT1G07233,AT1G06393,AT1G05570,AT1G06747,AT1G06663
AT1G31430,AT3G27680,AT1G45215,AT1G61575,AT1G06093,AT1G34790,AT1G32880,AT1G14560,AT1G07233,AT1G05630,AT1G05035,AT3G23637,AT1G07357,AT1G06623,AT1G05783,AT1G06907,AT1G06710
