3 Early M,0 Mid M,7 Expanding M,1 Late M,10 Senescent M,5 Early E,13 Expanding E,4 Abaxial E,6 Adaxial E,8 Senescent E,14 Guard cell,2 Vasculature,11 PPP,9 Phloem,16 Myrosinase,12 S phase,15 G2M phase
AT2G07725,AT3G14210,AT5G42940,AT3G14210,AT2G13430,AT2G07648,AT5G42940,AT3G26450,AT3G26450,AT1G65070,AT2G07665,AT1G62560,AT2G01990,AT2G01990,AT2G14255,AT2G07646,AT2G07827
AT1G58300,AT4G01130,AT3G20890,AT4G13575,AT2G10553,AT2G07775,AT1G45191,AT3G26440,AT3G26440,AT1G21060,AT2G00500,AT2G01990,AT5G35670,AT5G07605,AT1G65840,AT2G07656,AT5G38190
AT4G01130,AT2G10940,AT5G14610,AT2G10940,AT1G73630,AT2G07695,AT3G26450,AT3G23450,AT1G65070,AT1G08840,AT1G08833,AT1G49225,AT3G44440,AT3G47110,AT5G32590,AT5G42635,AT2G00510
AT2G07646,AT1G58300,AT4G01130,AT4G01130,AT1G34370,AT2G07763,AT3G26440,AT1G45191,AT5G48880,AT1G36160,AT1G09805,AT1G49230,AT3G62940,AT2G07646,AT3G02370,AT2G07714,AT2G07665
AT2G07648,AT3G45140,AT1G01780,AT3G46668,AT1G32000,AT2G05375,AT2G23080,AT1G65070,AT4G04840,AT4G14548,AT2G07642,AT5G15840,AT5G05730,AT2G07643,AT4G00580,AT5G35670,AT2G00500
AT2G07827,AT5G54800,AT1G01770,AT3G46670,AT1G30360,AT2G00510,AT3G03380,AT1G62035,AT3G13510,AT5G50860,AT5G52920,AT5G15843,AT2G07646,AT2G07718,AT1G32000,AT3G01370,AT2G07648
AT3G20362,AT3G46668,AT1G09760,AT5G24210,AT5G28410,AT2G07806,AT1G01780,AT1G21980,AT1G45191,AT3G26450,AT2G07648,AT5G38190,AT1G31500,AT1G62560,AT5G15840,AT2G07827,AT2G07738
AT2G07656,AT3G46670,AT2G10940,AT5G27950,AT1G44810,AT2G07655,AT1G01770,AT1G01180,AT1G62035,AT3G26440,AT1G01780,AT2G07656,AT5G23050,AT2G07721,AT5G15843,AT1G05313,AT2G07795
AT2G10553,AT5G38865,AT2G32710,AT2G01918,AT1G06837,AT2G07738,AT3G23450,AT1G17920,AT5G43130,AT1G62035,AT1G01770,AT2G07827,AT1G16670,AT2G10550,AT1G18050,AT2G07721,AT2G07806
AT5G26030,AT5G38860,AT5G15780,AT1G11860,AT1G06833,AT2G07656,AT5G16290,AT1G08840,AT3G27400,AT1G55250,AT3G26450,AT1G74090,AT2G14750,AT2G07795,AT5G06170,AT2G07738,AT2G07642
AT2G07835,AT5G05590,AT5G40850,AT2G25050,AT3G17210,AT2G05365,AT1G01180,AT5G50860,AT1G66100,AT1G45191,AT3G26440,AT2G07642,AT3G02370,AT2G07644,AT3G01370,AT2G15110,AT2G07714
AT2G07775,AT5G44780,AT3G03726,AT5G38865,AT2G05370,AT2G00500,AT4G04745,AT3G27400,AT1G17070,AT1G21980,AT1G63050,AT2G07835,AT3G48770,AT3G29796,AT2G20950,AT4G36360,AT2G07659
AT1G70790,AT5G44785,AT3G14630,AT5G38860,AT1G01780,AT2G07646,AT1G08840,AT3G21280,AT2G20250,AT3G13510,AT4G13420,AT2G14750,AT1G74090,AT2G07806,AT2G10550,AT2G40960,AT2G07715
AT1G16670,AT3G21870,AT3G46490,AT3G45140,AT1G01770,AT2G07795,AT1G28440,AT1G07763,AT1G08840,AT3G27400,AT4G06085,AT2G07763,AT1G03040,AT2G07830,AT5G00490,AT2G05365,AT2G05155
AT3G26290,AT2G01918,AT2G22720,AT3G21870,AT2G18960,AT2G07642,AT3G04705,AT1G56570,AT3G23450,AT5G38530,AT2G07659,AT2G05375,AT1G49225,AT2G07827,AT2G07674,AT2G07695,AT2G07721
AT2G00510,AT2G39805,AT5G38430,AT1G58300,AT4G15540,AT2G07714,AT3G04725,AT3G50480,AT2G23740,AT2G05505,AT1G31910,AT2G07638,AT1G49230,AT2G05705,AT5G16290,AT2G01918,AT2G07695
AT2G05365,AT3G28220,AT1G14770,AT5G40850,AT1G68470,AT2G07665,AT5G41640,AT5G24030,AT3G50480,AT1G35220,AT2G24200,AT2G07662,AT1G66173,AT2G07656,AT3G62940,AT4G35090,AT2G07830
