dmw_id	gene	rho	p_value	fdr
dmw=16844	AT4G35090	-1.7078465961080722	0.000793168080109576	0.07467004029635338
dmw=3696	AT1G54560	-1.4727183586543289	0.015100099715955351	0.3019526548696907
dmw=10982	AT3G20720	-1.4640373407110678	0.02329575289944041	0.3499071147221006
dmw=4759	AT1G68010	-1.4304958317319252	0.0002946449309281627	0.04083696896850188
dmw=14735	AT4G10120	-1.4011767900318792	0.002078899279717296	0.1264888211907314
dmw=15567	AT4G19180	-1.3996456101218941	0.004389970960580803	0.18484185744994022
dmw=12546	AT3G47910	-1.3814583577757718	0.004769164215914625	0.19175914280645992
dmw=11073	AT3G21670	-1.327715432997311	1.615086301570368e-06	0.001112585390663861
dmw=4806	AT1G68780	-1.3209544390856558	0.00015902363634881565	0.028086670214598788
dmw=408	AT1G06460	-1.3038928316186145	0.002370525118575719	0.1332702544127724
dmw=12968	AT3G53460	-1.2988786435153516	0.0006332682286761529	0.06457626017487325
dmw=14094	AT4G04330	-1.2625889289712302	0.00012632250879292085	0.024717104220481515
dmw=2422	AT1G32060	-1.2333204569492002	0.003569300567774067	0.16534230965287683
dmw=12482	AT3G46970	-1.2270679526098047	1.5183087505829617e-05	0.0056115566748397685
dmw=5778	AT2G01918	-1.2256525029192709	1.2304580595901677e-07	0.00019308550416982973
dmw=13158	AT3G55800	-1.2254099578648416	0.0030564139494372094	0.15108038839713656
dmw=4964	AT1G71140	-1.224589868883775	4.456036522048427e-05	0.011875445891826843
dmw=6953	AT2G17930	-1.2216081782722734	0.0005871094627403877	0.0634999821974973
dmw=4072	AT1G60160	-1.21762249204922	0.004489610264238791	0.185298852526402
dmw=3997	AT1G58520	-1.2120220976793117	0.006959223362433041	0.22694800631934417
dmw=8809	AT2G40960	-1.2099091142581013	0.001582525315317777	0.10779535919150919
dmw=20634	AT5G43160	-1.2016427392845426	0.009856406466830846	0.258834421401329
dmw=3772	AT1G55370	-1.199912334080531	2.7742507196341143e-05	0.008263954606336962
dmw=21907	AT5G59080	-1.1965359896885748	0.2351411777939257	0.6822136395422546
dmw=3499	AT1G52240	-1.1848013373067807	0.0015102516540378302	0.10535419620794989
dmw=12603	AT3G48200	-1.184263018456653	0.04164909454238058	0.4202389428093183
dmw=20028	AT5G35790	-1.1837591740386177	0.03953742394816052	0.4155883434533233
dmw=642	AT1G08840	-1.1830095106583949	4.514922812645597e-08	9.010882949478082e-05
dmw=16686	AT4G33010	-1.1802210150402184	0.0018806049257764522	0.12038626305698799
dmw=1801	AT1G23310	-1.1676081960928422	0.00025847935193896017	0.037654970116772025
dmw=7042	AT2G19080	-1.1672010527197423	0.07258832301499912	0.492404866094224
dmw=15745	AT4G21510	-1.1577894293643867	0.0001537334290337862	0.02764154753744419
dmw=13232	AT3G56940	-1.1497790478025964	0.0005282623233820078	0.05991268688043331
dmw=11394	AT3G26310	-1.1443937349188678	0.00781342094806495	0.23484978205042206
dmw=5164	AT1G73750	-1.1356997259173305	1.2003871684231842e-05	0.004881011930907277
dmw=6549	AT2G13360	-1.1327844992660787	0.0009474926898470856	0.08077331422877157
dmw=12548	AT3G47910	-1.1310146667376213	0.07823905461623873	0.5002823583027908
dmw=20244	AT5G38430	-1.1282997715276564	4.341582989212016e-07	0.00041261577761282577
dmw=14734	AT4G10120	-1.1153651094904826	0.0008761818657217137	0.07806623962533019
dmw=18187	AT5G13630	-1.1092835675208872	0.01572709220187832	0.3075221771608924
dmw=7253	AT2G21380	-1.108176911602756	0.05788515616998902	0.46359227401309827
dmw=4776	AT1G68190	-1.1052241411658867	0.0020348350206738797	0.12491988882743026
dmw=3982	AT1G58290	-1.099168134427953	1.2576969406793199e-07	0.00019308550416982973
dmw=18190	AT5G13650	-1.0982470561675342	0.0001472410819800696	0.02695997719411219
dmw=145	AT1G03140	-1.0974438807526714	0.004832085098016025	0.19191798690674255
dmw=11393	AT3G26290	-1.097141210515921	1.816319391576438e-06	0.0011328157005338296
dmw=2877	AT1G42970	-1.0968259255890727	1.972531956271639e-05	0.006672507251401588
dmw=11368	AT3G25690	-1.0965642607296646	0.0007784543814001079	0.07399167658060572
dmw=6714	AT2G15050	-1.0929372258157883	8.701988474908087e-07	0.0006679780230085215
dmw=14733	AT4G10120	-1.0907898163665024	2.846967274880819e-07	0.00035512358045044617
dmw=18186	AT5G13630	-1.086087854053939	9.514163476785076e-06	0.004290349918248777
dmw=17920	AT5G10605	-1.0848635044412438	0.0041354240750586455	0.18179469975775428
dmw=16434	AT4G30580	-1.0740188343998338	0.015159663301905506	0.3019526548696907
dmw=10163	AT3G11964	-1.0673971402933675	0.006130897820603017	0.21451455353218193
dmw=1510	AT1G19660	-1.0666698065582763	0.16490656929833727	0.6159522034754527
dmw=20997	AT5G47570	-1.05978638942687	0.0035706250856994645	0.16534230965287683
dmw=2248	AT1G30250	-1.058600738995413	0.0028289240083093606	0.14780017109381732
dmw=4567	AT1G66200	-1.0550536309829395	0.06264883221603568	0.47541649937933084
dmw=11608	AT3G28860	-1.0546545576817101	0.0022010813145642272	0.1289341654666885
dmw=4559	AT1G66100	-1.0542436719104884	7.081219426576235e-09	3.533174432890212e-05
dmw=10409	AT3G14420	-1.0503743492312874	1.5833253820493363e-05	0.0057110300518207835
dmw=14546	AT4G08310	-1.0473670084528353	0.0005442990268966062	0.06068782111062831
dmw=6005	AT2G05100	-1.046730445540817	3.5797181672452247e-06	0.0021012945641729467
dmw=11549	AT3G28100	-1.0445975927394178	0.0004402797710404746	0.0549193979401612
dmw=8292	AT2G34430	-1.043506919952561	1.243819063244074e-06	0.0009194126246009344
dmw=17859	AT5G09660	-1.0430030746950727	2.3948948336778707e-08	5.974663886317868e-05
dmw=15395	AT4G17090	-1.0423473202472018	0.0023052048408066057	0.13258581617526868
dmw=2423	AT1G32080	-1.0419924958661193	0.01934749683948892	0.333625142637375
dmw=422	AT1G06550	-1.0396309381171553	0.0006055910614287447	0.06428928938295153
dmw=21195	AT5G49730	-1.0392557851553512	3.520984101085286e-05	0.010038828669922877
dmw=11647	AT3G29320	-1.036759730919102	0.11716851885918352	0.5609137201706847
dmw=19194	AT5G25040	-1.0340547666095579	1.2717337428959735e-05	0.004881011930907277
dmw=7629	AT2G26080	-1.0340449385321828	2.1282426203831095e-05	0.006964028633118659
dmw=8112	AT2G32010	-1.03358888236767	0.005040319150281012	0.19573578986283238
dmw=20000	AT5G35630	-1.0326800408960206	0.0016525701456222865	0.11180337276721897
dmw=20850	AT5G45510	-1.0324838799330793	0.017576468889949057	0.31977316873801576
dmw=4449	AT1G64860	-1.0307701417648074	0.000829933743422463	0.07624870972962752
