gene,meth_shift,rna_shift,meth_z,rna_z,corr_type,anti_score,abs_score,coverage
AT5G63550,0.07745934509814337,2.386215954468785,5.720492321277611,46.03509817272879,positive,-263.343425606356,263.343425606356,854.0
AT1G27450,0.05282548705077698,0.5407236819244275,9.023024153628297,5.251067545113379,positive,-47.38050929189167,47.38050929189167,819.0
AT3G43590,0.05622160496500013,0.7616658680791953,7.630034273112088,3.302758505623616,positive,-25.200160593720653,25.200160593720653,879.0
AT4G03280,0.06025383964282809,0.8927200237559196,10.1055244625762,2.1743710119234283,positive,-21.97315945170877,21.97315945170877,671.0
AT2G43560,0.10008573541163482,0.7860809059796916,8.112512780101037,2.57288016789748,positive,-20.872523243736808,20.872523243736808,531.0
AT4G26630,0.053597359866361466,2.7438844079512466,3.1369771994005724,6.161288131931776,positive,-19.327820388807325,19.327820388807325,995.0
AT1G43670,0.05786752695728936,0.5708343000729605,5.891628125779067,2.3197201378868844,positive,-13.666928408310463,13.666928408310463,1027.0
AT4G13560,0.06165530835587851,0.9560866954527062,2.6429718456945723,4.8127873752161365,positive,-12.72006153201053,12.72006153201053,779.0
AT5G09660,0.05197059790489189,0.9276467240429453,2.422183805112789,5.084056969794051,positive,-12.31452045650595,12.31452045650595,766.0
AT5G28290,0.06815380236512403,0.550862794226657,3.751233267511642,3.0430851575143203,positive,-11.415322278738625,11.415322278738625,1523.0
AT4G18730,0.05880042031661686,0.5533775251985658,4.469524250633016,2.3268167669272146,positive,-10.399763966560696,10.399763966560696,630.0
AT1G44446,0.0622054520953621,0.8822272457375417,6.277348430793211,1.5946286599040937,positive,-10.010039715946844,10.010039715946844,1025.0
AT2G39681,0.07635117388025803,0.5004157231040081,5.2613361814280255,1.7122218517070524,positive,-9.008574779018007,9.008574779018007,247.0
AT2G36620,0.07795954872534346,0.5619622093525298,4.4987236553247145,1.96684429394067,positive,-8.848288951491329,8.848288951491329,386.0
AT1G60200,0.05039293970334632,0.7191796592789392,3.5650404908720605,1.849846997859667,positive,-6.594779449287834,6.594779449287834,1427.0
AT5G38140,0.07331675610164184,0.5013996189870562,2.3166808690081355,2.4302140267886836,positive,-5.630030343456568,5.630030343456568,548.0
AT1G19720,0.052733402353333625,0.5647227768688541,3.9668748325879557,1.1430499364454125,positive,-4.534336025276569,4.534336025276569,1278.0
AT3G27770,-0.06397941449521036,-0.6723862927558237,-3.7383906488527647,-0.4544672933978999,positive,-1.6989762798481347,1.6989762798481347,648.0
