gene,meth_shift,rna_shift,meth_z,rna_z,corr_type,anti_score,abs_score,coverage
AT1G20470,-0.14343097436057994,0.5107972687538115,-2.6264216790312607,510797.2687538115,anti,1341569.0202449677,1341569.0202449677,77.0
AT2G04570,-0.07010734438258642,1.68148932038744,-3.1554950700977393,128.4404085928713,anti,405.29307611614473,405.29307611614473,361.0
AT1G31935,-0.1595752894062965,0.7342061131575373,-3.4248736824472497,27.222311209823225,anti,93.23297723791231,93.23297723791231,46.0
AT1G52910,-0.07312055051395008,0.5580220277244092,-3.3671764599093095,22.88635180160083,anti,77.06238503955333,77.06238503955333,146.0
AT1G52827,-0.061530461879973755,0.9708026632603296,-4.174007469505588,18.007348573256692,anti,75.16280745076422,75.16280745076422,70.0
AT1G16610,0.09544001806910672,-0.5381223374733393,10.580814920668303,-5.586643105951403,anti,59.11123673189931,59.11123673189931,395.0
AT2G35020,-0.0724950953065705,2.1148425920838108,-7.241946692408292,7.488034163648205,anti,54.22794424407241,54.22794424407241,628.0
AT1G08660,0.07754492215843672,-0.9362508957779423,12.836036202069561,-3.736821379774435,anti,47.965974511452174,47.965974511452174,600.0
AT1G70060,0.059924119911006546,-0.8287882084901126,8.345259320148623,-4.987828944729365,anti,41.624725988309805,41.624725988309805,767.0
AT1G74790,-0.0667791918487123,0.6152162067226741,-6.284470222486003,6.477102524610374,anti,40.705157943902805,40.705157943902805,510.0
AT4G00860,0.08292941983437975,-0.5106919711194462,7.794250789829517,-4.873586462829355,anti,37.98595513721014,37.98595513721014,232.0
AT1G56460,0.08369103934651506,-0.5894327158545969,9.630873457885501,-3.8868081296401065,anti,37.43335725164449,37.43335725164449,593.0
AT5G01770,0.09303483914064094,-0.5956348670096907,9.8981620018705,-3.5723549033203117,anti,35.35974756124087,35.35974756124087,1209.0
AT3G23940,0.08100246670961192,-0.5017016582620456,8.130121483104121,-4.341482449874251,anti,35.29677973424216,35.29677973424216,399.0
AT3G11450,0.1425560096565962,-0.6630817670766584,13.469636278987222,-2.5287199678013463,anti,34.06093821769642,34.06093821769642,543.0
AT5G14610,-0.05002626588672804,0.540715499768214,-2.885767831214682,11.073032506727438,anti,31.954201001908512,31.954201001908512,705.0
AT3G23300,0.05799783822634302,-0.5265054777246361,9.764139261998348,-3.2666517100788073,anti,31.89604221765453,31.89604221765453,408.0
AT2G21520,0.16149796944899336,-1.2489727898317806,16.802439112993508,-1.8863088038379583,anti,31.69458882479091,31.69458882479091,482.0
AT1G02960,0.06351282259005221,-0.5542219446489278,18.11522338473877,-1.747087087288484,anti,31.648872858823488,31.648872858823488,421.0
AT4G32940,0.12134549881091183,-0.6560806811882935,21.281331994612895,-1.4447949169951497,anti,30.74716029270296,30.74716029270296,549.0
AT5G12860,0.05444775368654118,-0.5584284999148641,13.090331328129952,-2.323582531623844,anti,30.41646520721111,30.41646520721111,554.0
AT3G47450,0.0858550470983485,-0.8926756812967922,8.166660805258878,-3.7073137031054224,anti,30.276373511950204,30.276373511950204,345.0
AT5G51750,-0.06855845340237045,0.5912822457959741,-2.56854810820213,11.73186669548385,anti,30.13386400636462,30.13386400636462,320.0
AT4G03420,0.06605957709609572,-0.6033970383629331,19.314589558935275,-1.5367116197503876,anti,29.68095420592535,29.68095420592535,332.0
AT2G47700,0.054065768297375014,-0.890532259117768,9.969887189636772,-2.894681227296524,anti,28.859645286105664,28.859645286105664,550.0
AT5G65050,0.053270962167090916,-1.3651913845632788,6.652899962810457,-4.3011364620469745,anti,28.615030608395017,28.615030608395017,355.0
AT2G19480,0.09784382475206689,-0.7354729181421389,5.823311572521629,-4.863289098753227,anti,28.32044768928795,28.32044768928795,331.0
AT2G01220,0.09923456871690887,-1.142132405266374,8.266129713628347,-3.2732477804225835,anti,27.057090737819152,27.057090737819152,574.0
AT5G18640,0.10103623892471743,-0.8747657005533783,10.950657735980496,-2.4569218624794558,anti,26.90491040006026,26.90491040006026,422.0
AT1G16560,0.13739072633000368,-0.5498189602032293,10.10591757085211,-2.6426538978374143,anti,26.706442459835944,26.706442459835944,374.0
AT5G14720,0.07030898759190772,-0.6536546938515998,10.769544056944463,-2.4494362403194407,anti,26.379311504796622,26.379311504796622,528.0
AT4G39350,0.08258570067127832,-0.5522026233513808,9.678627826737284,-2.6756877837061315,anti,25.896986239039173,25.896986239039173,1020.0
AT5G27380,0.08998688377726383,-1.0824455605505783,10.033694582942738,-2.5284688087137925,anti,25.369883789131258,25.369883789131258,430.0
AT1G76010,0.11075127214333114,-0.6579713334244851,5.744343867327949,-4.324735534065022,anti,24.84276804292167,24.84276804292167,584.0
AT2G46340,0.06295281438541625,-0.9808189953082365,7.247900258227003,-3.2789094142188473,anti,23.765208390019733,23.765208390019733,668.0
AT2G02960,0.09241931512170677,-0.5203506013521818,10.957544490311157,-2.166818756943369,anti,23.743012931647684,23.743012931647684,504.0
AT1G04440,0.07586808214171217,-0.7160888159397076,9.279444529055308,-2.5133942641835954,anti,23.322902654137454,23.322902654137454,595.0
AT4G24740,0.07792579768769181,-1.5071102079222198,6.450166783551657,-3.569329916181756,anti,23.02277326489278,23.02277326489278,415.0
AT3G16630,0.0619799227848776,-0.6205698173465967,8.720307337884028,-2.618140492738128,anti,22.830989750435602,22.830989750435602,1064.0
AT5G50920,0.06476535633361363,-0.9070208467121974,4.04722662000893,-5.540467672440736,anti,22.42352825120106,22.42352825120106,872.0
AT1G63690,0.053213784495108635,-0.976711755130739,8.50699709744875,-2.461543702345081,anti,20.940345131092855,20.940345131092855,654.0
AT2G46550,0.06899991193239152,-0.6391294135418994,4.595576698384291,-4.364930819692968,anti,20.059374365040448,20.059374365040448,346.0
AT2G28290,0.05784914650020542,-0.9388889430005827,4.817852053205508,-4.1557608004645745,anti,20.021840705149216,20.021840705149216,2684.0
AT5G58200,0.051971484593903605,-2.480046031194153,5.336352005688072,-3.737979935105283,anti,19.947176723920848,19.947176723920848,404.0
AT2G26280,0.11671418232195419,-0.788182915310826,8.400777429407201,-2.3145395245869693,anti,19.443931397621085,19.443931397621085,438.0
AT4G18970,-0.07750734914121528,1.0219455301660987,-4.75776858594157,4.0787144577175365,anti,19.4055795179542,19.4055795179542,494.0
AT2G01735,0.05681227581370056,-0.5143078331093944,4.350925922503184,-4.320292695950079,anti,18.79727348361037,18.79727348361037,313.0
AT4G03390,0.1128299914535083,-1.0706799218781033,6.4189405521286504,-2.9103127061475584,anti,18.681124248865835,18.681124248865835,583.0
AT3G42050,0.0880025989660432,-0.5860309317757237,7.903099849237949,-2.356200461611234,anti,18.62128751293413,18.62128751293413,553.0
AT5G03650,0.06440373889924249,-0.6076923191387218,5.46961399425131,-3.338670520589517,anti,18.261239001610726,18.261239001610726,844.0
AT4G36690,0.08293366735098465,-1.353479050312357,6.78153802176083,-2.688283368681759,anti,18.230695877982637,18.230695877982637,436.0
AT3G47500,0.052705559730192975,-0.8697115741921071,9.989533324400156,-1.7846321508344447,anti,17.82764234255661,17.82764234255661,337.0
AT1G53510,0.10521387935691129,-1.0935785184625275,7.932923241334677,-2.2442718665903993,anti,17.803636450348538,17.803636450348538,661.0
AT1G04400,0.10080436046243924,-0.7745522292925707,6.600757999226799,-2.6668889693219056,anti,17.60348869730128,17.60348869730128,606.0
AT2G20760,0.07387333863847022,-0.6007727049628846,8.245826014583791,-2.10702594456306,anti,17.374169347081065,17.374169347081065,466.0
AT5G17020,0.06290178612921005,-0.6384285681994121,4.764172398396754,-3.54542943959166,anti,16.89103707656586,16.89103707656586,861.0
AT5G37190,0.09569717960310935,-0.5330216984563374,5.048241105721344,-3.173558814012776,anti,16.020890056323573,16.020890056323573,477.0
AT1G17720,0.09082286634166503,-1.1089730182276685,8.807546182234166,-1.8061007814994716,anti,15.907316042825814,15.907316042825814,713.0
AT2G13790,0.06209453663560126,-0.9880047541705415,7.711382688138902,-2.060530024262621,anti,15.889535557489209,15.889535557489209,493.0
AT2G42500,0.06492181640057987,-0.5575475015691226,5.951148325510788,-2.654600732804111,anti,15.797922705926895,15.797922705926895,415.0
