gene,meth_shift,rna_shift,meth_z,rna_z,corr_type,anti_score,abs_score,coverage
AT1G04800,0.13067916703756113,1.5481910922433417,52.86386862875944,391.58529539598845,positive,-20700.713612767493,20700.713612767493,172.0
AT4G13345,0.08046530631455608,1.692792713463904,13.291241264492687,42.93064696560341,positive,-570.6015864605957,570.6015864605957,397.0
AT3G04810,0.05719295988119688,1.445157710674117,3.9340144324582784,26.89667294067847,positive,-105.81189953373915,105.81189953373915,700.0
AT4G26470,0.0518923175528471,0.5672686641704752,7.892329177084231,10.581313202080864,positive,-83.51120691664937,83.51120691664937,296.0
AT5G53890,0.09852149182683162,0.9082853006181312,3.4717005383377626,19.307392962116595,positive,-67.02948654047891,67.02948654047891,992.0
AT2G16630,0.05006490415658145,0.8861622946364914,1.714070255336182,33.726412041521804,positive,-57.80943969958456,57.80943969958456,242.0
AT4G18820,0.05566572752254331,1.12228541804646,3.5501696689618853,12.394265664806532,positive,-44.001746032251866,44.001746032251866,643.0
AT3G55850,-0.057636472778746506,-1.0930384270049578,-11.726046717447463,-2.9344541394901946,positive,-34.409546329869116,34.409546329869116,800.0
AT5G19330,-0.052653445638627755,-0.5718128185184612,-14.35501410620619,-2.000789759463509,positive,-28.721365220651563,28.721365220651563,806.0
AT1G69740,-0.09423421396633941,-0.6658257851424686,-10.377895953160815,-2.7606913614900974,positive,-28.650167708334102,28.650167708334102,513.0
AT4G36730,-0.12361798671399041,-0.8125433804869978,-12.608217242142851,-2.184998888178419,positive,-27.5489406559941,27.5489406559941,420.0
AT4G12670,-0.0568687085059747,-0.736589033573945,-4.751074719725808,-5.663344729817992,positive,-26.906973974930647,26.906973974930647,481.0
AT1G80070,-0.05092437434204955,-0.5855389494032696,-6.175625557466412,-4.293266423194279,positive,-26.513605848090997,26.513605848090997,1951.0
AT4G21540,-0.07944887123659801,-0.5991265882352309,-14.537366594449965,-1.8108029797829768,positive,-26.324306747427503,26.324306747427503,571.0
AT5G15020,-0.05310243381390106,-0.752060715289319,-7.675364132206579,-3.3200208069147013,positive,-25.482368619572643,25.482368619572643,799.0
AT1G55750,-0.05849528898242112,-0.5567109823295338,-6.558537180898743,-3.8742123504425967,positive,-25.409165747074884,25.409165747074884,755.0
AT4G39170,-0.0733362520889749,-0.5752277521600289,-5.738606382851653,-3.903944666583497,positive,-22.403201781955726,22.403201781955726,392.0
AT1G51200,-0.10227500179953461,-0.5966018533902882,-5.956721545793698,-3.6808939139998613,positive,-21.92606008530387,21.92606008530387,394.0
AT5G04550,-0.05221670190502849,-0.6124549020746376,-7.07397562106394,-2.9916002517194484,positive,-21.162507248632124,21.162507248632124,737.0
AT2G44180,-0.09011254901820748,-0.8224011306160364,-9.378485511529187,-2.2456632500942155,positive,-21.060920254782143,21.060920254782143,165.0
AT2G24200,-0.05821993440406413,-0.5534760958976205,-4.953839972266855,-4.194612739387111,positive,-20.77944025655564,20.77944025655564,497.0
AT5G09810,-0.1343805662549091,-0.6116505206637114,-10.331965362135334,-1.9348084096681002,positive,-19.990373471058962,19.990373471058962,362.0
AT3G61860,-0.08638269489849047,-1.237693558672172,-5.953497144179436,-3.3301947107241423,positive,-19.826304699857644,19.826304699857644,469.0
AT2G26460,-0.07994443735649909,-0.5358599929490405,-6.825840755542481,-2.732682393650627,positive,-18.65285485453383,18.65285485453383,544.0
AT1G68790,-0.0651246812181637,-0.5854233619847595,-6.455276003467058,-2.6965568267093993,positive,-17.407018575442464,17.407018575442464,700.0
AT2G18960,0.05302081053787169,1.453189389142755,5.390776820562286,3.1784440987778106,positive,-17.134282773144406,17.134282773144406,897.0
AT3G48530,-0.05992188828051176,-0.574295737714029,-6.774756600681578,-2.4289177312613166,positive,-16.455326432375127,16.455326432375127,366.0
AT3G17650,-0.05651956701570708,-0.6040348535150101,-4.525255089885313,-3.6025139617486643,positive,-16.302294641786048,16.302294641786048,355.0
AT5G42620,-0.05351066905768023,-0.940390430113524,-3.178265538497521,-5.081914526937309,positive,-16.15167381055478,16.15167381055478,767.0
AT3G19860,-0.05241611311428834,-0.6118999012632649,-6.8739100911644995,-2.2676481431178406,positive,-15.587609454188163,15.587609454188163,403.0
AT1G09140,-0.09469393828175543,-0.7668259735048617,-9.305047645554216,-1.5403373437422192,positive,-14.332912373747773,14.332912373747773,521.0
AT5G11040,-0.08190795368743531,-0.5044699751918258,-6.238407633276836,-2.1733303009765192,positive,-13.55812033924376,13.55812033924376,1049.0
AT1G69295,0.07387376377685728,0.5585702894500268,5.285251730739926,2.527274582705702,positive,-13.357282362300337,13.357282362300337,378.0
AT1G55810,-0.055285410967436416,-0.6912194179548248,-4.6737812495830955,-2.786103039831395,positive,-13.021636146970437,13.021636146970437,497.0
AT2G40270,-0.061772402867941736,-0.9519707213348828,-8.729812244419692,-1.4862634060818551,positive,-12.974800480846296,12.974800480846296,535.0
AT1G66150,-0.058441434993819596,-0.6594190010450315,-4.355778879708075,-2.9327705545851583,positive,-12.774500040691771,12.774500040691771,802.0
AT5G08430,-0.09619826988254139,-0.555986485073252,-8.689200865619199,-1.4682725283064586,positive,-12.75811492392537,12.75811492392537,440.0
AT2G30600,-0.06789186718913928,-1.7046328817358622,-5.290961432468912,-2.2374393373664283,positive,-11.83820524149457,11.83820524149457,613.0
AT1G09770,-0.06371189534454372,-0.6227485200226861,-3.8754417002995005,-2.925053024656542,positive,-11.335872467341146,11.335872467341146,443.0
AT5G09660,-0.0795523902486965,-0.70778473979444,-4.157256704519317,-2.668819998716492,positive,-11.09496983281937,11.09496983281937,299.0
AT1G35340,-0.0675138169632361,-0.6843905691427361,-3.879287267969243,-2.853969253454128,positive,-11.071366588100284,11.071366588100284,383.0
AT3G05840,-0.06978784569947577,-0.653104994600078,-4.861277309274651,-2.2528370212378324,positive,-10.95166549283737,10.95166549283737,364.0
