gene,meth_shift,rna_shift,meth_z,rna_z,corr_type,anti_score,abs_score,coverage
AT4G09060,-0.065427676022044,0.6130775309026429,-5.989615197143504,53.11832342790242,anti,318.1583172505481,318.1583172505481,348.0
AT1G64760,-0.06229456607680729,0.9432611987253444,-4.055385733098823,33.9414695126485,anti,137.64575122200338,137.64575122200338,715.0
AT1G05150,-0.05543377547684994,0.5761148786886899,-6.889362372095555,19.69111805778318,anti,135.65924781178273,135.65924781178273,1033.0
AT5G44560,-0.06662519443236103,1.266214033292812,-2.428040927955169,50.56418671511795,anti,122.77191483307341,122.77191483307341,203.0
AT1G03470,-0.05753057197748447,0.8003952569684876,-4.617466509363123,24.32737208402867,anti,112.33082585881775,112.33082585881775,154.0
AT5G25590,-0.050421761158147144,0.777465465221192,-3.16856985885682,17.938640229843873,anti,56.83983474115968,56.83983474115968,455.0
AT5G39080,0.06764578779935992,-0.7361954898339553,22.77760811148769,-1.8246184066886728,anti,41.560443020561664,41.560443020561664,416.0
AT5G39740,-0.12713182405908147,1.161208120210184,-5.892280674280013,5.75944052000475,anti,33.936240070689216,33.936240070689216,300.0
AT5G18630,0.08762399953474523,-1.2338016162582859,10.389561499355759,-2.8863180508314787,anti,29.98757889581429,29.98757889581429,457.0
AT1G67900,0.10653083014633406,-1.1040765872910254,12.199083865877283,-2.371662412687221,anti,28.93210867392027,28.93210867392027,901.0
AT4G32940,0.07833169568580299,-0.9188451366255213,13.73765683874429,-2.0234444039684587,anti,27.79738485399616,27.79738485399616,432.0
AT2G23600,0.07094393087875724,-2.9228158510950255,9.882602546298642,-2.67534485747598,anti,26.439369900719097,26.439369900719097,366.0
AT5G56360,-0.06188059916754039,0.8686954892818606,-4.457224824653471,5.153870450234305,anti,22.971959313832308,22.971959313832308,628.0
AT5G61530,0.07294547684134553,-0.5175266756223844,8.522330176403786,-2.549752224302912,anti,21.72983032352938,21.72983032352938,553.0
AT1G72645,0.06303804229946343,-0.8536469010139627,22.7764424307576,-0.9191296470661253,anti,20.934503492804154,20.934503492804154,57.0
AT4G36730,0.11233933298688775,-0.5960329364103416,13.034251188521093,-1.6027837216442065,anti,20.89108562878326,20.89108562878326,567.0
AT3G49060,0.07214494373798502,-0.6892086296044901,9.074357408992789,-2.2624800994378935,anti,20.530553053032992,20.530553053032992,1083.0
AT2G07698,-0.14373038106072372,1.044783322922986,-3.85964438334185,5.0962991370193125,anti,19.669902340026507,19.669902340026507,532.0
AT4G11830,0.08466254609111856,-2.004793036890112,10.156208479870452,-1.9276136458360007,anti,19.577246055753587,19.577246055753587,889.0
AT3G26100,0.12302313863816652,-1.2486247144439666,9.755718634255684,-1.9544184195530687,anti,19.066756194766416,19.066756194766416,765.0
AT4G28300,0.061496555655263886,-0.7625201413681193,7.000949990865215,-2.702287966067509,anti,18.91858291135551,18.91858291135551,432.0
AT5G61910,0.08333096380486286,-0.8438182263071689,7.172961375736566,-2.472487544357623,anti,17.73505765766698,17.73505765766698,1613.0
AT1G47530,0.09532677411021072,-0.9181189419290723,10.489081240610995,-1.608119204265578,anti,16.867692978128357,16.867692978128357,480.0
AT1G64650,-0.054565115088815855,0.5435008624233422,-5.135774338316751,3.225995361102998,anti,16.567984191081656,16.567984191081656,455.0
AT1G04430,-0.09296427879964198,0.5796519207564308,-8.299366848406642,1.9735831544305196,anti,16.37949060445446,16.37949060445446,706.0
AT2G11910,-0.06879399315341637,0.678943364317521,-3.0003319454655104,5.393525050935233,anti,16.182365508989474,16.182365508989474,203.0
AT2G48100,0.08917906231755207,-1.2266936194726785,7.408879304023503,-2.096338800988432,anti,15.531521156864638,15.531521156864638,826.0
AT2G44210,0.05943530177385041,-0.5916575017094329,8.521498448442635,-1.788081804930735,anti,15.237136326405764,15.237136326405764,222.0
AT3G27260,0.10426410351797277,-0.5355032003090892,10.019319255690043,-1.506375302449131,anti,15.092855074124492,15.092855074124492,836.0
AT3G48530,0.07127391352698409,-0.507353216156355,6.995826101638331,-2.145792040247146,anti,15.011587963848752,15.011587963848752,455.0
AT5G13650,0.09695634451020968,-0.5243234522019109,6.271071992013516,-2.356973084310633,anti,14.780747894950123,14.780747894950123,831.0
