gene,meth_shift,rna_shift,meth_z,rna_z,corr_type,anti_score,abs_score,coverage
AT5G42970,-0.08046445831998629,4.691642759619193,-4.267763459103522,183.76102789908418,anti,784.2486000750143,784.2486000750143,430.0
AT2G46070,-0.17115086474852817,1.8211172925596892,-12.743590534799909,29.836071253327354,anti,380.2186752195181,380.2186752195181,522.0
AT4G13050,-0.052503496261079044,4.56813775960511,-4.470734037497503,44.07023216424778,anti,197.02628697711978,197.02628697711978,346.0
AT4G13720,-0.08459508951668,1.5950834736983648,-7.750077266667604,22.063217334395944,anti,170.9916390928486,170.9916390928486,363.0
AT3G25220,-0.0634377386733547,3.948112605625497,-5.0864231842208385,26.60644936701239,anti,135.3316609101697,135.3316609101697,479.0
AT2G14835,-0.08719133009149291,0.9843988997931814,-9.014699992038295,14.999536094373507,anti,135.21631791052698,135.21631791052698,745.0
AT3G62930,-0.1311861951040458,0.5318150097574349,-5.655725174156821,22.573713388072193,anti,127.67071908312076,127.67071908312076,67.0
AT3G24150,-0.056906664675635654,1.6912881087344724,-4.551902340849416,25.986791636900772,anti,118.28933768317467,118.28933768317467,539.0
AT2G03680,-0.08367317822726976,0.6304667387319212,-9.021737261012825,13.037707953936241,anti,117.62277564622987,117.62277564622987,288.0
AT5G60580,-0.061602699166318095,0.9240404130066686,-5.921971739475011,19.09815450886216,anti,113.09873127760896,113.09873127760896,457.0
AT3G16620,-0.06242480487067714,0.9660956479877467,-5.506490384715217,14.762680741401711,anti,81.29055955514904,81.29055955514904,766.0
AT1G56440,-0.05720586875305539,0.5145064946677446,-10.184582254339505,7.85485264997174,anti,79.99839290935381,79.99839290935381,533.0
AT1G09460,-0.08988206834998153,0.7627093412078184,-2.6794627372524373,29.489614789486016,anti,79.01632396435616,79.01632396435616,193.0
AT4G15093,-0.05355400492123123,0.9171193740886338,-4.808232192652556,15.518611043921911,anti,74.61708520663883,74.61708520663883,147.0
AT5G23050,-0.08949349450238352,0.5955739425852697,-9.195771979991223,7.605086341847728,anti,69.9346398877773,69.9346398877773,807.0
