gene,meth_shift,rna_shift,meth_z,rna_z,corr_type,anti_score,abs_score,coverage
AT5G24210,-0.14469176467236544,2.3850181168798836,-5.347582254352593,16.2924213487703,anti,87.12506328511941,87.12506328511941,12389.0
AT3G45140,-0.14358467394228075,1.4571308182418363,-4.945784432863575,13.992469054084852,anti,69.20373562501817,69.20373562501817,21050.0
AT3G26290,-0.09393408980355744,1.6805242670716305,-2.966209598818289,17.18347195036564,anti,50.96977944019938,50.96977944019938,7669.0
AT3G60290,-0.07395980142534517,1.0646082298170816,-3.2464471819655354,14.601158453764635,anti,47.40188971565645,47.40188971565645,5602.0
AT5G09660,-0.05736171765600699,2.8303768149117468,-2.997614333933688,15.512151986351839,anti,46.4994491444462,46.4994491444462,10077.0
AT4G04835,-0.09543550980218252,1.0693742920624887,-2.89863180936079,13.59305218086533,anti,39.401253437757305,39.401253437757305,1464.0
AT5G35490,-0.11129974867525738,1.5835660552954898,-2.314633561610176,11.762665419313793,anti,27.226260153535137,27.226260153535137,2728.0
AT2G10940,-0.3928495787603904,2.7276910161207417,-5.680685999929639,4.3863302726095466,anti,24.91736497068061,24.91736497068061,6269.0
AT1G11860,-0.10675542046113921,1.1588042002514032,-6.251264810848533,3.623258525806156,anti,22.649948522978953,22.649948522978953,8517.0
AT2G34430,-0.07177068626012162,2.1887494631805646,-2.979154239531126,6.919402606583172,anti,20.61396761042498,20.61396761042498,8472.0
AT1G32520,-0.05927517705703442,0.6270043277075092,-2.080270451620026,7.865633123471441,anti,16.36264417004137,16.36264417004137,4353.0
AT2G13360,-0.05901335597535848,4.598398198162812,-2.2726099639250057,6.154376399808277,anti,13.986497127949196,13.986497127949196,13201.0
AT3G16140,-0.06865570776793121,0.6097930222751766,-2.658884463831032,4.562482705792305,anti,12.131114382928928,12.131114382928928,7746.0
AT1G42970,-0.060137459562609456,1.5241119795448157,-3.5235356204272117,3.2470356480297426,anti,11.441045766629752,11.441045766629752,10775.0
AT3G26650,-0.08997836246906828,2.180311725173734,-3.3503680257574464,2.338737660041776,anti,7.835631876838755,7.835631876838755,9756.0
AT1G29910,-0.0983758399099997,1.1190017233228335,-3.341627097221909,1.7312482098444097,anti,5.785185930033001,5.785185930033001,7848.0
AT3G61470,-0.07076839073439473,1.6506348788376863,-1.577404246836868,2.8516819300602685,anti,4.498255187105024,4.498255187105024,10417.0
AT3G44440,-0.084224719680839,0.5536618934759452,-0.785892799177514,4.569665154252764,anti,3.591266939379651,3.591266939379651,741.0
