gene,meth_shift,rna_shift,meth_z,rna_z,corr_type,anti_score,abs_score,coverage
AT1G71140,-0.089778049960813,0.6454226587700935,-5.304905426259656,31.734935072887595,anti,168.35082927015927,168.35082927015927,5579.0
AT1G66100,-0.22306826119223988,3.974167898528128,-3.817909116051183,15.981035854785501,anti,61.01414247392638,61.01414247392638,2611.0
AT3G23450,-0.22665123704334797,1.291744019481733,-5.028591209672191,11.558553329319027,anti,58.1232396683409,58.1232396683409,3606.0
AT3G08595,-0.10175896133142129,1.7776700172249866,-1.4073455591221713,32.27226344314251,anti,45.41822663952741,45.41822663952741,199.0
AT1G21980,-0.08973367679100995,0.8388270636795307,-11.386510142448993,3.9610646821496664,anti,45.10270317819367,45.10270317819367,8554.0
AT4G15760,-0.07241410968306174,1.1857414517890363,-3.513031666620717,10.607338798054919,anti,37.26391709614146,37.26391709614146,4942.0
AT1G11350,-0.07804178999386249,1.69665825735456,-3.6553173112134623,9.153295526436974,anti,33.458199592437815,33.458199592437815,10080.0
AT2G33060,-0.07986792682807564,1.2031288331131855,-2.8848572533019676,10.849533384549304,anti,31.299355079358904,31.299355079358904,4956.0
AT4G18970,-0.07520213288355204,1.6929863189122993,-4.616263482025175,6.7569235070124245,anti,31.191739236258933,31.191739236258933,5499.0
AT1G45191,-0.10153111991601757,0.589322214848393,-6.729729266353361,4.184855091197227,anti,28.162941782677844,28.162941782677844,6363.0
AT1G09310,-0.054099732167422844,0.8173521178658953,-3.651657642005365,7.563826876890706,anti,27.62050621780352,27.62050621780352,1449.0
AT4G14548,-0.2350709809930618,1.0513575057629976,-5.387524032567343,4.5664873594774145,anti,24.602060393599555,24.602060393599555,1371.0
AT1G29460,-0.07063535050266222,1.755033102603257,-1.757773136822647,12.702882942787047,anti,22.328786397033685,22.328786397033685,1238.0
AT1G70890,-0.05247585691229992,0.9374886384469119,-1.8734690347730616,10.984061127293849,anti,20.578298398039514,20.578298398039514,2885.0
AT3G50480,-0.07831559834071461,2.0184753125242274,-2.3660391258787143,6.014248065706437,anti,14.229946236201807,14.229946236201807,3553.0
AT4G18975,-0.05814851395834959,0.6934075758933245,-2.5811972163908568,3.752480013267531,anti,9.685890964808475,9.685890964808475,3379.0
AT3G13750,-0.09210530898887527,2.595253726279335,-3.9452614756357414,1.5230229742756798,anti,6.008723866918004,6.008723866918004,6270.0
AT2G27050,-0.06087998954717583,0.6554345370006907,-1.8628289850468507,1.2437528697999387,anti,2.3168988960985275,2.3168988960985275,5903.0
