gene,meth_shift,rna_shift,meth_z,rna_z,corr_type,anti_score,abs_score,coverage
AT4G15110,0.06249710108511114,0.7796564745988644,4.514300077620127,8.273095345369143,positive,-37.34723495975863,37.34723495975863,4203.0
AT3G43590,0.050014292096567506,0.9722152797760476,6.787617733072808,4.215749213858323,positive,-28.6148941221725,28.6148941221725,3233.0
AT1G49180,0.05067272177395707,0.6663623003130349,4.11666938005933,6.67691544011817,positive,-27.486653345579832,27.486653345579832,2960.0
AT2G04842,0.051498935164594084,0.5438818562796621,3.445056061108529,7.967442808167637,positive,-27.448287137813477,27.448287137813477,5946.0
AT4G12420,0.05198660271090208,1.8305594448852385,3.5307997191557603,7.415275590969451,positive,-26.181852974057502,26.181852974057502,4098.0
AT1G14670,0.055153659597985405,0.5868050606132004,4.614980312788017,5.579291305683267,positive,-25.748319535037627,25.748319535037627,4889.0
AT4G25690,0.05407468306974523,0.863994950486405,4.120167793059214,6.1792029695837405,positive,-25.459353062054785,25.459353062054785,1645.0
AT5G25900,0.05781202739888419,0.6283716677126051,6.500720405015196,3.7850604571602027,positive,-24.605619748077476,24.605619748077476,2965.0
AT5G65900,0.051448229993043215,0.7801527814915762,3.7251289584001164,6.57191902392541,positive,-24.481245868285175,24.481245868285175,4754.0
AT5G27390,0.05416830248332352,0.6539457080568932,5.644691944063712,4.282058846007365,positive,-24.17090307206453,24.17090307206453,2755.0
AT2G06210,0.053688808530792664,0.7123288646453967,3.6259837543449462,5.82710192945267,positive,-21.128976931107474,21.128976931107474,8473.0
AT4G19060,0.08305922209647565,1.1466711748183958,2.9784577608775358,6.65993486957448,positive,-19.836334699223027,19.836334699223027,2691.0
AT3G59990,0.06065008923123659,0.7441439405235624,4.574871713294875,4.241194759918124,positive,-19.402921937723875,19.402921937723875,4344.0
AT1G29750,0.06219328112994346,0.6309513132768229,3.403913710506225,5.536676921198677,positive,-18.84637048271157,18.84637048271157,8889.0
AT4G35800,0.05641618046797678,0.5605216752415738,4.106193195195197,4.178458821863182,positive,-17.157559180737938,17.157559180737938,11772.0
AT5G52040,0.06240682993913102,0.8272777883483894,1.7609390976256214,9.508163080372753,positive,-16.743296114828844,16.743296114828844,3793.0
AT5G35210,0.06237858954139858,1.268922247216083,3.7171406653512724,4.47968530657303,positive,-16.65162042103919,16.65162042103919,10440.0
AT5G54380,0.05762389799903003,0.8967262059343084,3.1299803520533995,5.114743726468312,positive,-16.009047369634203,16.009047369634203,6417.0
AT4G36440,0.05270119001263744,0.5244631910019162,2.7594100592133293,5.642056492041242,positive,-15.568747438788472,15.568747438788472,3962.0
AT5G60570,0.06785358278968137,0.7598748048857048,4.438110400056872,3.4648628139128843,positive,-15.37744368919709,15.37744368919709,3708.0
AT2G05210,0.0642300609189064,1.5479465663015666,4.848651973851053,2.8629867504748217,positive,-13.881626358799156,13.881626358799156,4414.0
AT4G17330,0.052259470211512365,0.6873224678337211,4.191433373701186,3.0919924499258964,positive,-12.959880345851497,12.959880345851497,11376.0
AT1G51200,0.06156614322648557,0.675358771689263,2.939153095653977,4.305071563855221,positive,-12.65326441391698,12.65326441391698,3268.0
AT4G00060,0.054589938894940626,1.4423816374279008,2.961088174700639,4.012618727987819,positive,-11.881717865027051,11.881717865027051,8927.0
AT4G31060,0.06054937075939021,1.016517314585235,2.517737581188399,4.714359716752727,positive,-11.869520630109038,11.869520630109038,2349.0
AT5G38150,0.05248626841831461,1.1463492018718542,2.448831476613236,4.526425973495422,positive,-11.084454400455298,11.084454400455298,3067.0
AT3G62900,0.06963393594105347,0.6202813794743054,3.5958712458574102,2.980724221113381,positive,-10.718300518532331,10.718300518532331,10159.0
AT5G20490,0.05388459000687448,0.7491479435706074,4.41623091926285,2.3551523637508973,positive,-10.4008966883717,10.4008966883717,13081.0
AT4G14990,0.06465463659104248,0.9353254811706757,2.726763588876677,3.664966082180166,positive,-9.993496067356883,9.993496067356883,7801.0
AT5G50180,0.053666856460558215,0.5524595299744015,1.982446876672718,4.962963460288055,positive,-9.838811410888878,9.838811410888878,2381.0
AT4G05040,0.050109140613548514,0.6287792512691122,2.529987218592459,3.786933380708434,positive,-9.580893050853469,9.580893050853469,4935.0
AT2G14720,0.05157658700839657,0.6709449132043441,2.9879902347947094,3.0990016864081644,positive,-9.259786776599931,9.259786776599931,6194.0
AT5G27970,0.05200533432530047,0.6737534499750235,2.9388567551738625,3.0990736929766256,positive,-9.107733657385964,9.107733657385964,14747.0
AT5G38140,0.05394777953682156,0.9787806855876557,1.7046551896698592,4.744013479847441,positive,-8.086907198285708,8.086907198285708,2510.0
AT3G05945,0.09175504263544992,0.5638605143903564,2.2856927092018484,3.0284779175401346,positive,-6.922169896100282,6.922169896100282,408.0
AT4G13010,0.06685763462464232,0.5800943656922131,2.47337052403831,2.59470500987152,positive,-6.41766688999075,6.41766688999075,4228.0
AT5G25270,0.054511466228147565,0.8998196375426761,2.4857021902405596,2.198082890678723,positive,-5.4637794556904025,5.4637794556904025,6818.0
AT3G50480,0.05696428318621588,0.6244078844794542,1.8828615729904452,1.8604854308305199,positive,-3.503036524819359,3.503036524819359,2044.0
AT2G11778,0.06749234921467223,0.5990876437501668,0.7752025499584024,3.9529681927785547,positive,-3.0643510229463935,3.0643510229463935,143.0
