gene,meth_shift,rna_shift,meth_z,rna_z,corr_type,anti_score,abs_score,coverage
AT5G41100,0.07689959342623298,1.7243598221818413,3.5407966103897417,19.594116893565378,positive,-69.37878268031666,69.37878268031666,5251.0
AT5G48380,0.05443050686662927,1.8830208694410067,2.412559765076417,24.388686529751038,positive,-58.839163844738536,58.839163844738536,3572.0
AT5G46510,0.05963061550039489,1.2960860877926716,2.080696571884067,21.11376777004373,positive,-43.931344218686284,43.931344218686284,3817.0
AT5G46910,0.05888772969007239,0.7102671019077542,3.302885751704846,11.08684575871443,positive,-36.618584887807195,36.618584887807195,5787.0
AT5G48385,0.07549417307520973,1.253966569866635,7.04105903536488,3.8207235530593002,positive,-26.901940094899594,26.901940094899594,3375.0
AT3G49350,0.06291375294951848,0.7779392998789776,2.55246010554178,10.154168649781319,positive,-25.91811038350986,25.91811038350986,4840.0
AT5G45060,0.10215886307524277,0.5638790863775842,6.2237666064395984,4.149979030470167,positive,-25.828500907264807,25.828500907264807,5435.0
AT5G50920,-0.067556906160639,-0.7805365709397565,-4.2216722713664385,-4.767848119616224,positive,-20.12829220067043,20.12829220067043,7082.0
AT1G34315,0.05615833894243322,1.0819754193670321,1.9290249035013112,9.327024679341193,positive,-17.99206288202049,17.99206288202049,2916.0
AT5G41260,0.11272765811487323,0.7649198339507737,8.302707446903092,1.8862649603947814,positive,-15.661106133502118,15.661106133502118,3361.0
AT5G46470,0.07262081477132276,1.1267551363811117,4.2128262085727854,3.0410187578274397,positive,-12.811283523736895,12.811283523736895,7699.0
AT5G42870,0.08083686875716822,0.723958433067215,2.4770984466523362,4.877521607465211,positive,-12.082101197365281,12.082101197365281,4990.0
AT3G26020,0.05228189140760345,0.8733931055218738,3.695572442957946,2.693477061180275,positive,-9.95393960303718,9.95393960303718,3939.0
AT5G44290,0.05314291310384325,1.3513381148006558,2.6985142658848855,3.40557244453677,positive,-9.189985825086936,9.189985825086936,3158.0
AT5G46450,0.05779488469062874,0.552825140989225,5.33890664898904,1.47064108515119,positive,-7.851615467790145,7.851615467790145,4759.0
AT4G15560,-0.08161223033506093,-0.687380461031152,-5.433481066720625,-1.4100284745041862,positive,-7.661363019755461,7.661363019755461,3547.0
AT1G07110,-0.06562339752798771,-0.5938149693247143,-6.768121607922895,-1.1084408431807298,positive,-7.50206242183577,7.50206242183577,8229.0
AT5G41790,0.05160604165739413,0.8547483843145982,7.193002350520256,1.024638438673987,positive,-7.3702266978153945,7.3702266978153945,6434.0
AT5G45190,0.05301057796058929,0.620315874048059,3.885000517916727,1.8880778321034641,positive,-7.3351833555890495,7.3351833555890495,4729.0
AT5G46410,0.07371401529169128,0.550841660769859,3.680686179086833,1.9452648487876671,positive,-7.159909443596205,7.159909443596205,3857.0
AT3G27560,0.05206994207971387,0.7506441112914378,2.3937717290729372,2.986545260749504,positive,-7.149107612778927,7.149107612778927,3380.0
AT4G08920,-0.10785665241370174,-0.5239152468613753,-3.989449859755918,-1.574519702950887,positive,-6.281467408120346,6.281467408120346,3046.0
AT1G09140,-0.07021966656481982,-0.5036947896020647,-6.900096826646274,-0.902169274655098,positive,-6.225055349145412,6.225055349145412,3522.0
AT1G67230,-0.054416303418302836,-0.5465875157384885,-4.377267408056338,-1.3660616728851807,positive,-5.979617238115219,5.979617238115219,5681.0
AT1G11860,-0.05508998138490044,-0.6075937781478173,-3.225897669403024,-1.7870204109647558,positive,-5.7647449789068395,5.7647449789068395,2396.0
AT2G16940,-0.0645368958880437,-0.5622347119700135,-4.901946774652606,-1.1096793298076149,positive,-5.439589011649103,5.439589011649103,4980.0
AT5G45430,0.09889907241662502,0.7062503890871024,5.639145366874084,0.9506212632464622,positive,-5.360691492288277,5.360691492288277,5376.0
AT5G38150,-0.05739751559490339,-0.6540523653875463,-2.633828259663917,-1.9428185997793752,positive,-5.1170505314996,5.1170505314996,2749.0
AT5G25630,-0.05575043315410322,-0.5622257093243177,-3.9629033062942542,-1.2206222019154764,positive,-4.837207759707014,4.837207759707014,2618.0
AT1G44446,-0.06087564901913023,-0.5656609958512634,-6.103963477606657,-0.7860268850978785,positive,-4.797879399054374,4.797879399054374,3101.0
AT5G35790,-0.05070489956488833,-1.754638879180352,-2.7744327220022718,-1.562314009782731,positive,-4.334535110783786,4.334535110783786,2621.0
AT5G40450,0.064350629828101,0.7088340326554343,6.5558106167372205,0.34540381443944274,positive,-2.2644019937636317,2.2644019937636317,8094.0
AT2G13360,-0.05614100479190337,-0.871717383944818,-2.161995446049805,-1.0118209763040784,positive,-2.1875523429870856,2.1875523429870856,3364.0
AT3G61470,-0.06114590986192886,-0.8194760693067602,-1.362922300365855,-1.3875317232348217,positive,-1.891097928061802,1.891097928061802,2558.0
AT2G10940,-0.06407667227201735,-0.9025194531497809,-0.8181047228345787,-1.1035657444112743,positive,-0.9028323474613211,0.9028323474613211,2013.0
