gene	rho	p_value	fdr
AT1G03987	-0.5036552697776924	0.25651628492374645	0.733544143293621
AT1G01040	0.30027183855371603	0.2532870970682338	0.7314633351579394
AT1G01050	0.37642371771075195	0.41153794173411296	0.826799081980406
AT1G01060	-0.01266122760828097	0.9634030337757573	0.9952505254091545
AT1G04003	-0.36758293272601683	0.3583245720180993	0.7969681784169859
AT1G01150	-0.5333554791828963	0.05360057553726821	0.5090131837942745
AT1G01220	0.49105135773440156	0.13539218112617712	0.6243768318503373
AT1G01240	-1.0290071219043802	0.005251880786697779	0.2423664524617208
AT1G01260	-0.0029915014004661495	0.9908313878188277	0.9986287626822573
AT1G01320	0.3775031613462901	0.438738190466586	0.8395091050746596
AT1G01340	0.41876134652563574	0.11346251297488069	0.600975320769217
AT1G01350	0.3118072851606719	0.3543558826690745	0.7954746736306482
AT1G01440	0.19583548471742135	0.584884790071968	0.8958453808717516
AT1G01448	-0.3307544740305608	0.21728305728918407	0.7025908590090159
AT1G01530	-0.21829714268404923	0.36915255648586875	0.8035090322417048
AT1G01540	0.3288470272415248	0.5177997724140071	0.8734123468303122
AT1G01650	0.09163181195183769	0.7429282585958699	0.939311842196239
AT1G01660	-0.2390881699686545	0.6240403480946252	0.9071992632084002
AT1G01670	-0.16483609868975757	0.47350355869427874	0.8560809586624473
AT1G01690	0.19357305461335578	0.5713814543141598	0.8918778602560573
AT1G01710	0.3998190831419394	0.3521000820398241	0.7936421803204385
AT1G01750	0.19510055689964384	0.3724678503897907	0.804813523769156
AT1G01760	0.3521588674285059	0.25327044657071474	0.7314633351579394
AT1G01770	0.6145445011930691	0.160013315555613	0.6507686682465975
AT1G01790	0.699193623466034	0.014027005901824638	0.3404421127639039
AT1G04063	0.29581261957891414	0.4267644314929945	0.831472841908828
AT1G01910	-0.2867347012687625	0.3716243806178311	0.8045652334420409
AT1G01920	0.2120055317112898	0.5368066126864157	0.8818504997630109
AT1G01930	-0.21919337123875993	0.41346101735247776	0.827236034566989
AT1G01940	0.008296682301674472	0.9823334233334404	0.9986287626822573
AT1G01950	0.23303796774843458	0.45898127145231515	0.849644490329449
AT1G01960	0.31143209060370375	0.33149924129533004	0.7832307310560161
AT1G01970	0.4877496830528843	0.04743204088070134	0.49516929708120005
AT1G02010	0.6838230161240013	0.03445630695109754	0.45187099545302944
AT1G02050	0.00803932727967431	0.9731833362391327	0.997610786030493
AT1G02080	0.4190655474212774	0.21116081296014969	0.6965220740280064
AT1G02100	0.49463332311255787	0.17151052086251212	0.664578793111842
AT1G02110	-0.7659094989573243	0.00013423470858592112	0.034906503200036874
AT1G02120	-0.31831600973723434	0.4716262347605549	0.8551678945807136
AT1G02145	0.5194281870272968	0.17164721457628881	0.664578793111842
AT1G02260	0.665371993308745	0.05348151996480128	0.5089331795306183
AT1G02280	0.5047803961575857	0.16525860395133965	0.6578335306304186
AT1G02305	0.6925499077143087	0.09602886810781078	0.5790361379587334
AT1G02330	-0.2842019968319237	0.42114967531859915	0.8290965365817347
AT1G02420	-0.296589462298698	0.510750813260171	0.8707472571866497
AT1G02430	0.2520050528036114	0.5900001002399043	0.8973240961156436
AT1G02470	0.26970575544525305	0.4694461983923336	0.8544459071877646
AT1G02500	-0.0736269826068832	0.7828147171564823	0.9482168861459992
AT1G02520	0.02397188938101451	0.904526868736153	0.9819122555271473
AT1G02530	-0.23214841438063416	0.4839323959686844	0.8600979626753837
AT1G02560	0.9814667597662274	0.03708239284890718	0.46195597408516215
AT1G02570	0.6383864616918736	0.11067055687810708	0.5975961228431637
AT1G02660	0.2907083743039395	0.43996362260979105	0.8405595383083149
AT1G02670	-0.12695505728018178	0.688180300718591	0.9220965639591899
AT1G02690	0.09321942541676591	0.572566157421849	0.8920623292038474
AT1G02740	-0.7328272540824604	0.26755692856943863	0.7416719079423207
AT1G02750	0.2767429070722179	0.3950938649840695	0.8168564055860804
AT1G02840	0.35860853555747163	0.19018892718434668	0.6769329843960108
AT1G02890	0.3090755113767345	0.20296895077273364	0.6878272262622798
AT1G02910	0.7223928104900558	0.09682035656533512	0.5797553529716836
AT1G02960	-0.2145652390040941	0.6805713481550555	0.9200215555083774
AT1G02990	0.7135126480063797	0.023483818025070186	0.3969946869205927
AT1G03000	0.8164088621226501	0.003288776432272925	0.20673919841568122
AT1G03010	-0.12759120071087116	0.6586302808622221	0.9136043059182812
AT1G03030	0.6654714206996939	0.10979201695583586	0.5969557949121711
AT1G03060	0.5333265886799583	0.037320615675450655	0.4625868530511598
AT1G03090	0.062051892471172494	0.7979087855492308	0.9548227103515583
AT1G03100	-0.07712599412743221	0.8048597590481117	0.9573690071842957
AT1G03110	0.49823716856732553	0.03427100869936104	0.45187099545302944
AT1G04167	1.3011734610439427	0.37633848455899255	0.8070640492548041
AT1G03160	0.6657765702297687	0.0407968333831289	0.46874053288352435
AT1G03180	0.1756811250617707	0.5367595652924249	0.8818504997630109
AT1G03190	0.5181362735875162	0.0729129699378795	0.552520943083899
AT1G03200	-0.08885387928159967	0.6790624634575144	0.9198819695498628
AT1G03210	-0.46683323681296396	0.16877233287212287	0.6625782591058005
AT1G03240	-0.39118803650140843	0.07695553081593003	0.5569439726460812
AT1G03260	0.15362608816394013	0.5522182215327616	0.8875559297296719
AT1G03270	-0.07196994844387067	0.795081705892015	0.9537686967121121
AT1G03280	0.3343260185074237	0.2169117278401969	0.7018509995276254
AT1G03290	-0.6443553322628364	0.03388671141743045	0.4499050557169514
AT1G03310	0.30248142841684533	0.49806837665004333	0.8653377768304952
AT1G03360	0.745967416426882	0.005844334426053358	0.25947215768910065
AT1G03365	-0.3528403340182406	0.3508441956708571	0.7936421803204385
AT1G03370	-0.2565074628701893	0.4483252940830834	0.8434385347717842
AT1G03380	0.661498268831326	0.006350329436643137	0.26443103817551256
AT1G03457	0.0007399887160035627	0.9967011543993483	0.9989821806627442
AT1G03470	0.10922402432389337	0.5892372781787225	0.8968188468416803
AT1G03475	0.3027857600792273	0.46102982311550855	0.849644490329449
AT1G03502	0.30919796092725577	0.41596164866684715	0.8277656297537039
AT1G03510	0.10788896030638685	0.8227500271605932	0.9616813876749224
AT1G03520	0.47502358564915614	0.05311957397191433	0.5081316536566908
AT1G03530	0.26252260582886716	0.2791522648501669	0.7494644245092346
AT1G03540	-0.36831281033266455	0.37683354756137843	0.8071003636770613
AT1G03550	0.31432141657803697	0.12059031021970473	0.610958939490846
AT1G03545	0.37220666445922407	0.23940366863849377	0.7206193349695683
AT1G03560	0.24353300048400794	0.6514436468025683	0.9130013853456397
AT1G03640	-0.15141793480468493	0.5450134215634581	0.8849956693719362
AT1G03687	-0.030035922823466687	0.9050462635536032	0.9819122555271473
AT1G03740	0.2163348712039612	0.4426188001173027	0.8409640805340933
AT1G03750	0.7708285159899568	0.009165908667256818	0.2939622176660914
AT1G03770	0.35189372862421003	0.23676563574566925	0.7188152801218293
AT1G03810	0.5116027373967167	0.0799502853813591	0.5603682767871127
AT1G03830	0.3777029131781376	0.09411343928859427	0.5790361379587334
AT1G03860	-0.06424097010175313	0.8792348124279572	0.9765670020698004
AT1G03905	0.20287535761559314	0.5977519145943916	0.9000892100876552
AT1G03910	0.37011045266847453	0.15329529802548542	0.6437998310615475
AT1G03930	0.5858991092253445	0.04035654311829066	0.46822720994216116
AT1G03960	0.18174907078640828	0.643929830927829	0.9110429638990222
AT1G04010	0.18869961117228212	0.5550856451130894	0.8877911812005413
AT1G04020	-0.014925852825580253	0.9311848244495442	0.9853686892743809
AT1G04030	-0.04715609626993903	0.7008252509985269	0.9269626508869848
AT1G04050	0.40782836154402147	0.11916655376331643	0.6072756942725819
AT1G04080	0.5368289226787001	0.06977663839404824	0.545936498800129
AT1G04120	0.41464108247362347	0.1913672971183022	0.677333916633724
AT1G04130	-0.12712708595850286	0.7241811903771044	0.9335512450625909
AT1G04140	0.37049449794452427	0.08236738963939633	0.5639100133637851
AT1G04160	-0.13810408622264042	0.5633513676192776	0.8904319391093877
AT1G04170	0.4467301854040433	0.07487135722827652	0.5536862938048531
AT1G04190	0.0381492713154811	0.9289661329405922	0.9852076716239845
AT1G04200	0.4406224260723126	0.1984896145285639	0.6828528069480175
AT1G04210	0.4247860336655599	0.04622064350083047	0.49077401675111265
AT1G04230	0.002934318256410221	0.9938272724125075	0.9986287626822573
AT1G04300	0.06904530632473257	0.7657464167972484	0.943831412799216
AT1G04310	-0.023655161741013273	0.9274419975443928	0.9852076716239845
