Gene,Cluster,Raw_Fraction,Residual,Z_Score,Coverage
AT1G11785,6.0,0.4519774011299435,-0.15535957539185924,-2.1910835727292457,531
AT1G28135,13.0,0.45604395604395603,-0.23593252206063214,-3.0324510459422114,182
AT1G29540,6.0,0.09807692307692308,-0.16604924150105077,-2.5500872660943386,1040
AT1G31935,14.0,0.32608695652173914,-0.1669564816585114,-2.123372194349555,46
AT1G32225,10.0,0.2957957957957958,-0.1584980904055609,-1.5039193666991002,666
AT1G34860,16.0,0.6346153846153846,-0.15706113343362238,-2.208407668130351,52
AT1G36005,11.0,0.4117647058823529,-0.16827265804529756,-1.9269595193657634,136
AT1G42080,16.0,0.34523809523809523,-0.19993616252935897,-2.496251649761585,84
AT1G43040,8.0,0.3118811881188119,-0.20074172676585095,-1.7734085477157475,808
AT1G49230,11.0,0.17040358744394618,-0.21001608679388628,-2.1261321545422884,223
AT1G49230,2.0,0.17896174863387979,-0.20369160262872424,-2.0578128720438937,1464
AT1G50160,10.0,0.04568527918781726,-0.21572679511415557,-1.5416422930552733,197
AT1G50350,10.0,0.18190386427898209,-0.1912988214759631,-2.4997473763646414,1061
AT1G56940,16.0,0.6285714285714286,-0.16948416635028574,-2.795839559584142,35
AT1G62035,6.0,0.09833024118738404,-0.35958554786900415,-1.6242955588097945,539
AT1G62035,4.0,0.14041994750656167,-0.33686075988939856,-1.5152792298577804,762
AT1G66100,6.0,0.30671736375158426,-0.33375196513322786,-2.4844536089691904,1578
AT1G66100,8.0,0.35298295454545453,-0.22217702237213194,-1.6802528019435121,1408
AT1G67105,8.0,0.2916224814422057,-0.21618285432064133,-2.0621701561537322,1886
AT1G67105,10.0,0.28254847645429365,-0.21437133348239124,-2.044678548850764,1083
AT1G68950,14.0,0.03125,-0.222575289543416,-2.3049549940329035,32
AT1G68950,15.0,0.08333333333333333,-0.1611388232540839,-1.6731050572209527,24
AT2G04975,9.0,0.43160377358490565,-0.1917895598553957,-2.380073863373226,424
AT2G05155,15.0,0.42346938775510207,-0.3239595949558279,-2.5351588829217175,196
AT2G05155,9.0,0.4888888888888889,-0.21169071332699735,-1.5343388039420947,810
AT2G05205,15.0,0.5313693398799781,-0.18299039875137357,-2.274835776749511,1833
AT2G05205,9.0,0.4956313174575981,-0.1685014294788329,-2.0720236515985735,5837
AT2G05215,15.0,0.5313693398799781,-0.18299039875137357,-2.274835776749511,1833
AT2G05215,9.0,0.4956313174575981,-0.1685014294788329,-2.0720236515985735,5837
AT2G05365,14.0,0.35517970401691334,-0.29835943934875575,-1.679253975833978,473
AT2G05365,5.0,0.3356187864244086,-0.2894922329494653,-1.621007233192981,2917
AT2G05545,8.0,0.311639549436796,-0.1611408020129454,-1.977740308858503,799
AT2G05995,10.0,0.2921615201900237,-0.20289510742312294,-2.321128207599633,842
AT2G06385,12.0,0.704225352112676,-0.16850158878436317,-2.405666077376586,71
AT2G06505,10.0,0.2773109243697479,-0.17365520571558224,-2.1685334669808354,119
AT2G07655,5.0,0.3896595208070618,-0.3136095842716492,-1.8857329304503003,793
AT2G07655,14.0,0.4552238805970149,-0.2731221592952209,-1.6318991253876918,134
AT2G07725,15.0,0.3258426966292135,-0.3367299170871979,-1.8187402135126816,89
AT2G07765,15.0,0.2619047619047619,-0.4066892820241807,-1.9412886064960435,42
AT2G07765,9.0,0.2845528455284553,-0.3301077108209056,-1.5312816820487283,123
AT2G07775,5.0,0.30097087378640774,-0.33360398168258854,-2.0062455034964253,618
AT2G07775,15.0,0.3465909090909091,-0.3048151435208383,-1.8112046962688189,176
AT2G07795,15.0,0.28211586901763225,-0.3774548460866242,-2.436597743446971,397
AT2G07795,9.0,0.3478787878787879,-0.25715745049190397,-1.5322536462402967,825
AT2G07835,15.0,0.30851063829787234,-0.3237946158946468,-1.9221956165696785,94
AT2G07835,5.0,0.3463414634146341,-0.26875528506097435,-1.5677594683973288,410
AT2G07835,9.0,0.31512605042016806,-0.2610833674845924,-1.5183547086794837,238
AT2G08015,12.0,0.5,-0.20535930421328596,-2.2414811669052663,170
AT2G08015,9.0,0.5258215962441315,-0.15531989426608883,-1.6907302499313313,213
AT2G08045,16.0,0.39568345323741005,-0.16891938128635442,-2.204973061698361,139
AT2G08430,14.0,0.14634146341463414,-0.18481892626607685,-3.13206816715588,82
AT2G09150,8.0,0.28191489361702127,-0.2563804162156088,-2.825987882526146,188
AT2G09550,13.0,0.25,-0.1861839100350846,-2.1952112678309206,116
AT2G10020,16.0,0.5,-0.22221305258875657,-2.2886034936509843,44
AT2G10940,1.0,0.13941617482852128,-0.20320471776271468,-1.8000498234212874,6269
AT2G10940,7.0,0.1654501216545012,-0.19751579569223102,-1.765721843471122,2055
AT2G11025,8.0,0.39893617021276595,-0.15896031965306656,-2.6475758137182464,376
AT2G11200,10.0,0.35765124555160144,-0.19481557196843902,-1.9582772321109163,562
AT2G11200,8.0,0.3883495145631068,-0.17485739875432443,-1.7483378230127218,1133
AT2G14755,10.0,0.38130563798219586,-0.1622108396369919,-2.222485875423487,674
AT2G16145,10.0,0.28024502297090353,-0.153851531885643,-1.690304881524903,653
AT2G21350,14.0,0.024154589371980676,-0.1872204556266731,-3.5598759356195533,207
AT2G23755,14.0,0.19444444444444445,-0.17376011688359763,-2.457077455869901,108
AT2G26120,10.0,0.24439918533604887,-0.20842084202206396,-1.6574555374782802,491
AT2G26120,16.0,0.3090909090909091,-0.2041448047063963,-1.6255841228729346,110
AT2G33950,10.0,0.3793103448275862,-0.19162782160658887,-1.80311404612339,203
AT2G33970,15.0,0.3076923076923077,-0.2978983614267542,-1.852642045586862,39
AT3G00975,6.0,0.054945054945054944,-0.34728488876395225,-2.1769959847929066,273
AT3G00975,4.0,0.1085972850678733,-0.3124718654137796,-1.9698095510957472,442
AT3G00975,8.0,0.09417040358744394,-0.24418125635434712,-1.563384415200144,223
AT3G02835,14.0,0.28888888888888886,-0.2038814376439092,-1.5843033571788503,45
AT3G02835,13.0,0.27044025157232704,-0.1947400830799092,-1.5107633698982716,159
AT3G03085,15.0,0.4,-0.23598623887872516,-2.03214557375074,75
AT3G03085,10.0,0.32456140350877194,-0.20944501245930913,-1.7830755558547762,342
AT3G04535,11.0,0.2716049382716049,-0.2245247587893089,-2.578825549136397,162
AT3G04905,16.0,0.6111111111111112,-0.20939486992826595,-2.878681110023721,18
AT3G06375,16.0,0.4782608695652174,-0.17852873216228382,-2.362789069230645,92
AT3G06565,15.0,0.23387096774193547,-0.21811016848407708,-2.838586394571398,124
AT3G06575,10.0,0.25903614457831325,-0.2012507724334635,-1.690699838380151,332
AT3G06625,12.0,0.7096774193548387,-0.16867108172225742,-3.2582140833874056,155
AT3G07855,12.0,0.27692307692307694,-0.18820147090046435,-2.1401230241681026,130
AT3G07855,9.0,0.2697095435684647,-0.16721409716687724,-1.8503042595457673,241
AT3G08370,4.0,0.5324825986078886,-0.15699301867243554,-1.5825325250778968,862
AT3G08585,6.0,0.24064171122994651,-0.2665175527608309,-1.7272385613831664,187
AT3G08585,8.0,0.17486338797814208,-0.26398744692047627,-1.7109947153986669,183
AT3G09445,16.0,0.18181818181818182,-0.3371334436796211,-2.4816231411634653,22
AT3G10950,16.0,0.5909090909090909,-0.24973703128852287,-3.0925029805707314,44
AT3G14670,10.0,0.22956326987681971,-0.1810485472509031,-1.6804541222606018,893
AT3G14670,8.0,0.2439209726443769,-0.17726861114885772,-1.6489872090053308,1316
AT3G19350,7.0,0.4671280276816609,-0.18818602974120208,-2.1908362958413385,289
AT3G23450,13.0,0.1040339702760085,-0.20904771318488216,-2.0282323014874217,942
AT3G23450,4.0,0.12756516916250693,-0.1930140688223151,-1.8631219266675445,3606
AT3G23450,6.0,0.13078902229845626,-0.17308712103505383,-1.6579193074893264,2332
AT3G26870,16.0,0.6285714285714286,-0.23629857191207926,-3.1956317825605463,35
AT3G27140,16.0,0.5882352941176471,-0.19290571199358075,-2.8440901151584623,85
AT3G30525,16.0,0.6724137931034483,-0.22165644860762146,-3.0062077986973748,58
AT3G42565,16.0,0.6538461538461539,-0.2090732384155044,-2.7003508230337094,52
AT3G43550,16.0,0.6013071895424836,-0.21130353349561604,-3.362317985268272,153
AT3G53910,8.0,0.3565275016567263,-0.20289306728096645,-1.9353050492389479,1509
AT3G55735,13.0,0.20754716981132076,-0.22772430987196118,-1.6182236080617427,53
AT4G03985,6.0,0.1128084606345476,-0.2274833090802615,-1.8613368994834758,851
AT4G03985,13.0,0.1362530413625304,-0.21379270714413212,-1.7490362420949241,411
AT4G03985,8.0,0.09724047306176084,-0.18437539233691766,-1.5077332075849488,761
AT4G04030,16.0,0.5643564356435643,-0.20656931156486358,-2.7871443766712574,101
AT4G04095,9.0,0.6363636363636364,-0.20817515410219523,-2.2039040622309196,88
AT4G04095,12.0,0.6779661016949152,-0.18095072845619842,-1.8968135090465297,59
AT4G04825,9.0,0.5916666666666667,-0.18821631564380925,-2.8828616350623184,120
AT4G05275,8.0,0.30851063829787234,-0.18816728021663331,-2.002279105132053,752
AT4G05455,16.0,0.527027027027027,-0.28854214119345123,-3.4486068486230375,74
AT4G05605,14.0,0.014084507042253521,-0.23482821870379145,-2.0917540467126963,71
AT4G05605,15.0,0.04878048780487805,-0.1909019797483283,-1.6301403666153185,82
