item,cluster,raw_fraction,residual,z_score,coverage
dmw=10088,10,0.46808510638297873,-0.2623969369380471,-1.9002631781062351,47
dmw=10088,2,0.583710407239819,-0.20894343409801186,-1.4788217523536118,221
dmw=10088,13,0.5849056603773585,-0.19905017016851845,-1.4008206666573175,53
dmw=10088,12,0.5882352941176471,-0.15137854136004814,-1.0249650511120612,51
dmw=10125,14,0.11267605633802817,-0.1904182396318468,-1.8342029811123592,71
dmw=10125,13,0.0718562874251497,-0.18322143110865147,-1.7614573133813645,167
dmw=10125,6,0.11956521739130435,-0.11621009379910419,-1.084103669412858,644
dmw=10205,7,0.3644578313253012,-0.3453057092236075,-2.5950601180823676,664
dmw=10205,13,0.391304347826087,-0.3230840225586708,-2.428705065536789,161
dmw=10222,7,0.44785276073619634,-0.27037454406273415,-2.6964401253823365,326
dmw=10319,6,0.07518796992481203,-0.5106725306922001,-2.064838320840145,133
dmw=10319,8,0.16981132075471697,-0.43532141252830436,-1.721093514519242,53
dmw=10319,14,0.26666666666666666,-0.39935703890470836,-1.5570273805727508,15
dmw=10320,3,0.3624161073825503,-0.21987528752334246,-1.7177425891476301,149
dmw=10341,6,0.1820388349514563,-0.23474677915126232,-1.471719399698756,412
dmw=10341,13,0.22857142857142856,-0.21375838701051023,-1.3548408153947147,105
dmw=10341,4,0.20503597122302158,-0.2094326105639645,-1.3307517558947088,556
dmw=10341,8,0.24183006535947713,-0.19452614792623643,-1.2477417645435411,153
dmw=10341,7,0.24722222222222223,-0.18955060834814347,-1.2200343528401407,360
dmw=10342,6,0.34444444444444444,-0.36357066295982443,-1.92491712198984,180
dmw=10342,13,0.38636363636363635,-0.34273106355648264,-1.8119744499360528,44
dmw=10342,4,0.4382716049382716,-0.26776743691874244,-1.4057002152235016,162
dmw=10342,8,0.5232558139534884,-0.20102228608476502,-1.0439669814928365,86
dmw=10343,6,0.3157894736842105,-0.28079693249313464,-1.887591223960505,152
dmw=10343,4,0.3163841807909605,-0.2779041726240317,-1.866946552769247,177
dmw=10343,13,0.4090909090909091,-0.2123180191895892,-1.3988798505118778,44
dmw=10343,8,0.4489795918367347,-0.1667073343196916,-1.0733714659396285,49
dmw=10364,13,0.3,-0.602586850803112,-3.7672364709693937,40
dmw=10371,6,0.10596026490066225,-0.16544347803589188,-1.9715216596838492,302
