item,cluster,raw_fraction,residual,z_score,coverage
AT1G01040,10,0.30727527107380204,-0.06590146409518921,-1.842762201553284,5718
AT1G01040,8,0.32824079352411356,-0.055176696335102526,-1.5180555869747185,8771
AT1G01040,13,0.4081967213114754,-0.05252304961640719,-1.4377129015580865,4270
AT1G01046,9,0.18181818181818182,-0.14112582330814105,-1.8170674487298921,55
AT1G01046,13,0.2545454545454545,-0.10762185509693245,-1.4619713886085657,55
AT1G01046,0,0.2774480712166172,-0.06851681253025499,-1.0475116309235517,674
AT1G01150,14,0.04501607717041801,-0.07195649994723177,-3.5492994218125973,311
AT1G01260,14,0.09148936170212765,-0.07000383823229447,-2.8472165177964484,470
AT1G01320,13,0.2670955882352941,-0.05184375419061754,-1.7542904879338712,5440
AT1G01350,16,0.16024340770791076,-0.06360021389627565,-2.3230104152511126,493
AT1G01350,8,0.1402240693892302,-0.050996328461396595,-1.8588410737246668,2767
AT1G01440,11,0.20987654320987653,-0.05734041109958682,-1.7465021651492925,1296
AT1G01450,15,0.1388888888888889,-0.07221101471306707,-2.082535677915099,288
AT1G01530,16,0.3716216216216216,-0.11487548346462795,-1.6440816251215822,148
AT1G01530,12,0.39568345323741005,-0.1054482897785547,-1.503244943595766,278
AT1G01530,7,0.4481012658227848,-0.09867896005846272,-1.4021151730957448,790
AT1G01530,11,0.4393939393939394,-0.08024846981047312,-1.126774581626263,198
AT1G01750,12,0.1413427561837456,-0.07765187506404769,-1.9887608272325346,283
AT1G01750,8,0.12369942196531791,-0.05447284241166922,-1.4398966275353682,865
AT1G01970,10,0.13444378346222485,-0.0634303821428526,-2.1605519242220623,1681
AT1G01970,13,0.2038095238095238,-0.057636361769015904,-1.936006548533338,1050
AT1G02010,9,0.22827868852459016,-0.058081968813719465,-2.0944099217900636,2440
AT1G02050,14,0.2826855123674912,-0.07741899607160024,-2.375699259766265,283
AT1G02050,15,0.296875,-0.051790070907574204,-1.4207509612028546,512
AT1G02100,12,0.09342560553633218,-0.05797081816948137,-2.812771374400518,1156
AT1G02110,6,0.041834412742867144,-0.09677847336857773,-1.8770065534760372,5713
AT1G02110,4,0.06201891356938641,-0.08614654574652131,-1.6712666681081132,9094
AT1G02110,13,0.06891701828410689,-0.07492949532304886,-1.4542039913923857,2133
AT1G02110,8,0.05042391789379741,-0.058544171414344454,-1.1371293476843511,4482
AT1G02260,14,0.14842300556586271,-0.06521759083574738,-2.3382467361113526,539
AT1G02280,14,0.18444444444444444,-0.08840511104455309,-2.7566318618706505,450
AT1G02280,13,0.2,-0.051468304975323564,-1.5288462686686244,1310
AT1G02430,14,0.1319796954314721,-0.0917070202417217,-2.624017431203468,197
AT1G02430,16,0.11330049261083744,-0.07306183968005739,-2.041244949951247,203
AT1G02470,12,0.2,-0.07719099112510114,-2.0962824361481847,455
AT1G02470,11,0.23883928571428573,-0.05343681437116202,-1.3734722215560238,448
AT1G02500,13,0.17767503302509907,-0.06708327517360554,-1.8339574540819414,1514
AT1G02500,6,0.17881705639614856,-0.05805189379191644,-1.5526868052246003,4362
AT1G02500,10,0.12714063310845874,-0.057091431771651796,-1.522774462447183,1927
AT1G02890,8,0.18501529051987767,-0.05241848286681569,-2.2776545578535803,6540
AT1G02910,14,0.2526964560862866,-0.06848277693829985,-1.761464019094585,649
AT1G02910,15,0.2463295269168026,-0.06404703349141938,-1.6275896964792733,613
AT1G03060,8,0.26948113505656324,-0.06658993624546794,-2.3181403145044945,15823
AT1G03060,10,0.27276227141482196,-0.053663144126390894,-1.8829781608476837,10390
AT1G03100,15,0.2286212914485166,-0.11862186829341556,-2.7720822503015365,573
AT1G03100,16,0.2521186440677966,-0.055624744093465184,-1.2005517346638974,472
AT1G03200,14,0.3893805309734513,-0.15215479866370424,-2.1650938481337327,113
AT1G03200,9,0.3684210526315789,-0.10202244817168088,-1.4291756676134042,247
AT1G03200,7,0.4625779625779626,-0.08198024186604125,-1.1349659636338114,962
AT1G03240,11,0.03225806451612903,-0.10778414030007816,-2.700687563458413,155
AT1G03240,9,0.06349206349206349,-0.05540140360321358,-1.1906732671003182,252
AT1G03470,15,0.032467532467532464,-0.056223333207497825,-1.6470394360865903,154
AT1G03475,12,0.08758169934640522,-0.05432894837040281,-2.062034021713711,765
AT1G03510,12,0.10377358490566038,-0.056141726196073216,-1.695092326932417,848
AT1G03510,16,0.09725685785536159,-0.054948210774907774,-1.6568788986077982,401
AT1G03530,16,0.12557427258805512,-0.061694361890602706,-2.2806713597280317,653
AT1G03560,15,0.16574585635359115,-0.062185017684673105,-1.769714539278398,543
AT1G03560,14,0.1848013816925734,-0.05204817061983805,-1.4887681139594473,579
AT1G03810,8,0.2910855063674955,-0.13755757466906599,-1.7440534188218295,1649
AT1G03810,16,0.3466135458167331,-0.13122696549499663,-1.661576677514549,251
AT1G03810,10,0.28756476683937826,-0.13044854573615183,-1.6514352324634645,1158
AT1G03810,9,0.3732590529247911,-0.09078500525856131,-1.1346888219125428,718
AT1G03830,10,0.1879374228077398,-0.0675123604761074,-2.2921237411719164,4858
AT1G03910,8,0.18213389928612772,-0.06856347146296132,-1.9229977918357881,5183
AT1G03910,9,0.22465840482999683,-0.05390889999920412,-1.4759449502698256,3147
AT1G03930,9,0.13944954128440368,-0.07224613507307237,-2.0310160475547265,2180
AT1G04003,16,0.0,-0.1326443390402754,-1.5372283383179022,34
AT1G04027,9,0.3767123287671233,-0.10552740637268582,-1.3696401652939532,146
AT1G04027,10,0.3352941176470588,-0.10057782324457681,-1.3080046327639974,170
AT1G04027,8,0.3651452282157676,-0.08146211937075043,-1.0699630528060573,241
AT1G04050,16,0.17018469656992086,-0.07306399601937055,-2.236180471137463,758
AT1G04050,10,0.13854089904200442,-0.06292000890318533,-1.918570655817103,2714
AT1G04053,12,0.1932367149758454,-0.09198352461082046,-1.9137973334322105,207
AT1G04053,8,0.17147435897435898,-0.06430538637615632,-1.3806511651392006,624
AT1G04057,15,0.45,-0.18269372902215847,-2.3174409900084005,20
AT1G04057,14,0.48148148148148145,-0.1627532686068241,-2.034465752108183,27
AT1G04063,15,0.09523809523809523,-0.2986912241997852,-2.6548322196006233,42
AT1G04063,10,0.1592920353982301,-0.13960106639277395,-1.2206879255515792,339
AT1G04083,10,0.30303030303030304,-0.195840035709397,-2.0796011539711716,231
AT1G04083,9,0.39705882352941174,-0.14840108347309228,-1.560702372736385,136
AT1G04083,8,0.4070175438596491,-0.10273775376696687,-1.061225781988722,285
AT1G04117,13,0.3453159041394335,-0.051443150218240585,-1.6022579178691494,918
AT1G04157,9,0.40625,-0.11488586660784506,-2.2805026574291776,96
AT1G04157,12,0.43859649122807015,-0.11087164359029916,-2.201601100328681,57
AT1G04160,16,0.2222863741339492,-0.08427782770678777,-2.7534275565627184,1732
AT1G04163,15,0.4155844155844156,-0.13277270087084936,-1.9765682711637707,231
AT1G04163,10,0.34364548494983277,-0.09967066661092577,-1.4347866756891972,1196
AT1G04163,14,0.4792332268370607,-0.08147493719879861,-1.1369768421811393,313
AT1G04277,14,0.0,-0.054432431364212434,-2.4832161778514434,41
AT1G04293,6,0.04335260115606936,-0.07290901876854775,-1.5669235416528542,346
AT1G04293,10,0.030612244897959183,-0.05674575509262251,-1.1933406191844362,196
AT1G04293,14,0.07692307692307693,-0.056089801452344545,-1.1781795055101083,13
AT1G04293,11,0.06862745098039216,-0.05360513024247528,-1.120751083220699,102
AT1G04297,15,0.09523809523809523,-0.06283505590967581,-2.5994036235770728,63
AT1G04300,8,0.20733973366367298,-0.07274055255076539,-2.4660198821405843,6458
AT1G04303,13,0.15625,-0.09649338396739049,-1.6358979989623121,96
AT1G04303,12,0.16176470588235295,-0.07974667722329482,-1.3612307833340398,68
AT1G04343,8,0.2986425339366516,-0.20769106430752587,-2.569835971739337,442
AT1G04343,9,0.45132743362831856,-0.09073610655575676,-1.08716102030313,226
AT1G04353,16,0.0502283105022831,-0.09053791799881888,-2.748288737445557,219
AT1G04390,10,0.21869539895165988,-0.050599637860020835,-2.2853459038859514,3434
AT1G04400,16,0.22963951935914553,-0.054122238071127676,-1.3257712616285902,749
AT1G04400,10,0.18620455317703025,-0.05099112628821528,-1.2379712476071387,2943
AT1G04413,10,0.14741035856573706,-0.0816362439201303,-1.7458326387305647,251
AT1G04413,9,0.19760479041916168,-0.06609228649689813,-1.4559426033729157,167
AT1G04423,15,0.2857142857142857,-0.22202963448971758,-1.9376984577274754,21
AT1G04423,8,0.23148148148148148,-0.18257371282742188,-1.5844288774860122,216
AT1G04425,14,0.03146853146853147,-0.14197537128798943,-3.143396523931066,286
AT1G04430,15,0.16005665722379603,-0.09538171486809366,-2.9650813883581595,706
AT1G04497,5,0.19658119658119658,-0.057883951613159484,-1.07294184140011,117
AT1G04510,14,0.22568807339449543,-0.07044254991492116,-2.3789420408942292,545
AT1G04510,10,0.15210843373493976,-0.055805960513464065,-1.7962724166843798,2656
AT1G04547,6,0.06015037593984962,-0.10288413821001333,-1.7193401230420156,133
AT1G04577,14,0.23809523809523808,-0.24696271433944805,-2.6028689535087373,21
AT1G04577,8,0.25210084033613445,-0.12826585143719632,-1.3213174201379176,357
AT1G04577,12,0.32432432432432434,-0.11824353643029045,-1.2131080466888244,74
AT1G04587,14,0.35135135135135137,-0.13624376898513374,-2.4196564823649824,37
AT1G04587,8,0.2689075630252101,-0.11385573420754158,-2.0259820121489307,238
AT1G04590,14,0.11027568922305764,-0.05122512925064768,-2.112224312591934,399
AT1G04620,16,0.0636215334420881,-0.05204591063433803,-2.6027191694089704,613
AT1G04673,14,0.0,-0.0911680759555027,-1.3822794049607752,28
AT1G04673,15,0.0,-0.08710894103830555,-1.3082395219589,27
AT1G04790,8,0.2012007139380172,-0.06286981379575002,-2.457540366874031,6163
AT1G04860,8,0.2297639945387166,-0.07906080797066495,-2.715402797873988,5127
AT1G04893,16,0.0,-0.0886814522115916,-1.7351505500320432,28
AT1G04893,12,0.0136986301369863,-0.07983015295795981,-1.532891640629453,73
AT1G04893,14,0.047619047619047616,-0.06144579305262658,-1.1127950561656865,42
AT1G04923,15,0.14871794871794872,-0.06620554489976307,-1.7584203577708846,195
AT1G04953,14,0.17266187050359713,-0.08527847660026236,-2.2470620142239266,139
AT1G04953,3,0.15760869565217392,-0.06008978974352083,-1.5745910778015313,1104
AT1G04977,10,0.46410684474123537,-0.06551750873550649,-2.060518386103536,1198
AT1G04977,8,0.4789533560864619,-0.06150329619430378,-1.9460159195470998,1758
AT1G04985,14,0.06830601092896176,-0.07190180556563054,-2.296303423457531,366
AT1G04985,16,0.04700854700854701,-0.06774516980911476,-2.1439145193770233,468
AT1G05035,15,0.41935483870967744,-0.15138677064415734,-1.936366972242929,155
AT1G05035,14,0.45652173913043476,-0.12642434017380316,-1.5777521193887516,92
AT1G05043,16,0.05128205128205128,-0.05482579739984439,-2.391464324815492,39
AT1G05047,11,0.29333333333333333,-0.09554611192579848,-2.2373379490358407,225
