3 Early M,0 Mid M,7 Expanding M,1 Late M,10 Senescent M,5 Early E,13 Expanding E,4 Abaxial E,6 Adaxial E,8 Senescent E,14 Guard cell,2 Vasculature,11 PPP,9 Phloem,16 Myrosinase,12 S phase,15 G2M phase
AT1G01950,AT1G07380,AT1G07520,AT1G07520,AT1G01770,AT1G11410,AT1G01770,AT1G02110,AT1G01770,AT1G01770,AT1G02500,AT1G09460,AT1G03300,AT1G07990,AT1G08680,AT1G01950,AT1G04030
AT1G08460,AT1G11860,AT1G14280,AT1G09160,AT1G02500,AT1G14560,AT1G02110,AT1G04030,AT1G02110,AT1G02110,AT1G05620,AT1G17150,AT1G09460,AT1G09460,AT1G08940,AT1G07990,AT1G14530
AT1G08680,AT1G14710,AT1G14710,AT1G11860,AT1G07990,AT1G17920,AT1G02500,AT1G05620,AT1G02500,AT1G03290,AT1G08460,AT1G24100,AT1G14530,AT1G17150,AT1G09460,AT1G08680,AT1G14710
AT1G20400,AT1G20470,AT1G14770,AT1G20470,AT1G08680,AT1G26762,AT1G05620,AT1G08940,AT1G03290,AT1G03300,AT1G08940,AT1G31500,AT1G15750,AT1G18050,AT1G11300,AT1G09460,AT1G17070
AT1G20980,AT1G29910,AT1G17150,AT1G29620,AT1G08840,AT1G30600,AT1G07650,AT1G11300,AT1G04030,AT1G04030,AT1G14280,AT1G32520,AT1G19090,AT1G19090,AT1G15165,AT1G11960,AT1G18050
AT1G26762,AT1G32010,AT1G18550,AT1G29910,AT1G11410,AT1G34790,AT1G08190,AT1G11350,AT1G05620,AT1G05620,AT1G14560,AT1G49230,AT1G21060,AT1G20400,AT1G17070,AT1G14770,AT1G20980
AT1G29910,AT1G34042,AT1G18660,AT1G30540,AT1G14530,AT1G42550,AT1G08940,AT1G11410,AT1G08840,AT1G07990,AT1G17150,AT1G50055,AT1G24100,AT1G25280,AT1G17150,AT1G17070,AT1G25280
AT1G33680,AT1G37113,AT1G26380,AT1G32520,AT1G15750,AT1G47280,AT1G10850,AT1G14530,AT1G11300,AT1G08190,AT1G18050,AT1G53680,AT1G25280,AT1G26390,AT1G19090,AT1G19090,AT1G26390
AT1G34042,AT1G47578,AT1G26940,AT1G35240,AT1G17450,AT1G52905,AT1G11300,AT1G14560,AT1G11310,AT1G08680,AT1G19370,AT1G60800,AT1G26410,AT1G29620,AT1G24100,AT1G29620,AT1G26410
AT1G35515,AT1G47580,AT1G29440,AT1G37113,AT1G18050,AT1G53680,AT1G11310,AT1G17920,AT1G11350,AT1G08840,AT1G20470,AT1G62560,AT1G30360,AT1G32010,AT1G27960,AT1G35240,AT1G26940
AT1G42970,AT1G70790,AT1G29460,AT1G40104,AT1G18450,AT1G58080,AT1G11350,AT1G18450,AT1G11410,AT1G11310,AT1G20650,AT1G62760,AT1G31500,AT1G32550,AT1G30600,AT1G35890,AT1G27370
AT1G47578,AT2G05060,AT1G29910,AT1G42960,AT1G18660,AT1G62030,AT1G14530,AT1G19370,AT1G14280,AT1G11350,AT1G23030,AT1G66140,AT1G35515,AT1G32700,AT1G32010,AT1G44800,AT1G34060
AT1G47580,AT2G05360,AT1G34060,AT1G42970,AT1G19370,AT1G62035,AT1G14560,AT1G21060,AT1G14560,AT1G11410,AT1G23480,AT1G74090,AT1G35580,AT1G34042,AT1G34790,AT1G47280,AT1G34790
AT1G50520,AT2G05995,AT1G34110,AT1G43145,AT1G20400,AT1G65990,AT1G14770,AT1G21890,AT1G17070,AT1G11960,AT1G26380,AT2G01590,AT1G35820,AT1G34370,AT1G35240,AT1G47480,AT1G35515
AT1G53720,AT2G06908,AT1G35890,AT1G47578,AT1G20470,AT1G67481,AT1G15750,AT1G21980,AT1G17920,AT1G14530,AT1G26400,AT2G01990,AT1G47280,AT1G35240,AT1G35820,AT1G47660,AT1G42540
AT1G54510,AT2G07213,AT1G42960,AT1G47580,AT1G20980,AT1G68845,AT1G17920,AT1G23030,AT1G17930,AT1G14560,AT1G26762,AT2G04190,AT1G49230,AT1G35820,AT1G36160,AT1G51172,AT1G42960
AT1G65990,AT2G10940,AT1G45191,AT1G56270,AT1G26410,AT1G70830,AT1G17930,AT1G26380,AT1G19110,AT1G15750,AT1G28440,AT2G05920,AT1G52905,AT1G36730,AT1G36730,AT1G52905,AT1G44800
AT1G70790,AT2G11005,AT1G47578,AT1G62760,AT1G26940,AT1G70850,AT1G18050,AT1G26400,AT1G19370,AT1G15780,AT1G29060,AT2G07681,AT1G53190,AT1G37113,AT1G37113,AT1G63050,AT1G47480
AT2G07779,AT2G15420,AT1G47580,AT1G67635,AT1G27370,AT2G04378,AT1G18660,AT1G27960,AT1G19750,AT1G17450,AT1G29460,AT2G07763,AT1G53350,AT1G40104,AT1G40104,AT1G63690,AT1G50055
AT2G07835,AT2G39805,AT1G50055,AT1G68110,AT1G27430,AT2G04380,AT1G19750,AT1G28440,AT1G21060,AT1G17920,AT1G29540,AT2G07779,AT1G56270,AT1G43145,AT1G43145,AT1G67635,AT1G50520
AT2G10940,AT3G12360,AT1G56270,AT1G68872,AT1G27960,AT2G07599,AT1G21980,AT1G29440,AT1G21890,AT1G17930,AT1G30600,AT2G07787,AT1G58602,AT1G47280,AT1G47530,AT1G70790,AT1G51440
AT2G10950,AT3G14630,AT1G68110,AT1G70790,AT1G29440,AT2G07667,AT1G23030,AT1G29460,AT1G21980,AT1G18050,AT1G31270,AT2G07835,AT1G60025,AT1G47660,AT1G47660,AT1G78550,AT1G52905
AT2G13360,AT3G22220,AT1G70790,AT1G70850,AT1G29910,AT2G07669,AT1G23480,AT1G32450,AT1G23030,AT1G18450,AT1G31910,AT2G14750,AT1G65990,AT1G49230,AT1G50430,AT1G79000,AT1G53680
AT2G13550,AT3G26290,AT1G70890,AT1G72610,AT1G30360,AT2G07674,AT1G23870,AT1G32780,AT1G23480,AT1G18660,AT1G34630,AT2G19420,AT1G66173,AT1G51172,AT1G50520,AT1G79380,AT1G58080
AT2G15420,AT3G26650,AT1G72610,AT2G01023,AT1G30600,AT2G07676,AT1G26380,AT1G35890,AT1G25280,AT1G19110,AT1G34790,AT2G22840,AT1G66290,AT1G56530,AT1G51172,AT2G03690,AT1G58440
AT2G22890,AT3G30770,AT1G75300,AT2G01590,AT1G31500,AT2G07681,AT1G26390,AT1G44100,AT1G26400,AT1G19220,AT1G35515,AT2G25630,AT1G68210,AT1G58080,AT1G52310,AT2G07599,AT1G58602
AT2G26120,AT3G45140,AT1G76540,AT2G01918,AT1G32010,AT2G07687,AT1G26410,AT1G45191,AT1G26410,AT1G19370,AT1G35890,AT3G19540,AT1G70890,AT1G58265,AT1G53350,AT2G07698,AT1G62560
AT2G26470,AT3G45820,AT1G79270,AT2G05060,AT1G34042,AT2G07698,AT1G26420,AT1G48660,AT1G26420,AT1G20400,AT1G44100,AT3G20100,AT1G71350,AT1G62760,AT1G53500,AT2G07706,AT1G65570
AT2G33810,AT3G46668,AT1G79380,AT2G05995,AT1G34060,AT2G07706,AT1G26940,AT1G51440,AT1G26762,AT1G20470,AT1G45191,AT3G23020,AT1G73630,AT1G64790,AT1G53680,AT2G07714,AT1G65990
AT2G33815,AT3G46670,AT2G01590,AT2G07785,AT1G34370,AT2G07714,AT1G27370,AT1G51580,AT1G27370,AT1G20650,AT1G47280,AT3G26030,AT1G74090,AT1G65840,AT1G54040,AT2G07721,AT1G66290
AT2G34730,AT3G49142,AT2G01730,AT2G07981,AT1G35410,AT2G07715,AT1G28440,AT1G53500,AT1G28440,AT1G20980,AT1G50055,AT3G27990,AT1G74780,AT1G66173,AT1G55250,AT2G07754,AT1G66320
AT2G34970,AT3G50250,AT2G01918,AT2G08986,AT1G35710,AT2G07721,AT1G29440,AT1G54040,AT1G28680,AT1G21060,AT1G50160,AT3G43800,AT1G75295,AT1G66290,AT1G56530,AT2G07779,AT1G68190
AT2G44830,AT3G59530,AT2G01990,AT2G10606,AT1G35820,AT2G07722,AT1G29460,AT1G55250,AT1G28685,AT1G21980,AT1G50430,AT3G44780,AT1G75300,AT1G68470,AT1G56570,AT2G07798,AT1G69080
AT3G03405,AT3G60290,AT2G05995,AT2G10940,AT1G36160,AT2G07727,AT1G29540,AT1G56010,AT1G29440,AT1G23030,AT1G50520,AT3G45820,AT1G78470,AT1G71140,AT1G58440,AT2G11810,AT1G70850
AT3G13405,AT4G00005,AT2G10606,AT2G13360,AT1G36730,AT2G07754,AT1G33680,AT1G56570,AT1G29460,AT1G23310,AT1G51440,AT3G46120,AT1G79050,AT1G73630,AT1G58602,AT2G14288,AT1G74090
AT3G26290,AT4G01130,AT2G10940,AT2G14560,AT1G37113,AT2G07763,AT1G34042,AT1G58265,AT1G29540,AT1G23480,AT1G53500,AT3G47960,AT1G79380,AT1G74780,AT1G62975,AT2G14870,AT1G76170
AT3G45820,AT4G07670,AT2G10950,AT2G16500,AT1G42540,AT2G07765,AT1G34370,AT1G58440,AT1G30360,AT1G25280,AT1G54040,AT4G04610,AT2G01990,AT1G79000,AT1G64790,AT2G18800,AT2G01990
AT3G46668,AT4G07932,AT2G14750,AT2G22890,AT1G42550,AT2G07774,AT1G34630,AT1G58602,AT1G32450,AT1G27360,AT1G54060,AT4G10603,AT2G03620,AT1G79050,AT1G65840,AT2G19420,AT2G03520
AT3G46670,AT4G09500,AT2G18010,AT2G24070,AT1G43145,AT2G07775,AT1G35410,AT1G60800,AT1G32780,AT1G27430,AT1G54090,AT4G14050,AT2G04190,AT2G01023,AT1G65990,AT2G23200,AT2G07213
AT3G49142,AT4G10120,AT2G22720,AT2G34430,AT1G44100,AT2G07779,AT1G35515,AT1G61360,AT1G33680,AT1G27960,AT1G56010,AT4G30350,AT2G04378,AT2G01918,AT1G66173,AT2G23740,AT2G07215
AT3G56210,AT4G14340,AT2G22890,AT2G36750,AT1G47578,AT2G07787,AT1G35580,AT1G62030,AT1G34790,AT1G28440,AT1G56230,AT4G36910,AT2G04380,AT2G01990,AT1G67900,AT2G24070,AT2G07599
AT3G60290,AT4G26730,AT2G23090,AT2G39805,AT1G47660,AT2G07795,AT1G35880,AT1G62035,AT1G35890,AT1G28680,AT1G60025,AT5G01230,AT2G04622,AT2G03520,AT1G68210,AT2G29040,AT2G07667
AT4G00005,AT5G05590,AT2G23200,AT2G39920,AT1G49230,AT2G07798,AT1G35890,AT1G62760,AT1G42540,AT1G28685,AT1G60270,AT5G04267,AT2G07727,AT2G04190,AT1G68470,AT2G34430,AT2G07669
AT4G01130,AT5G24210,AT2G24070,AT3G13405,AT1G50160,AT2G07806,AT1G36730,AT1G62975,AT1G42550,AT1G29440,AT1G62030,AT5G06170,AT2G07785,AT2G04622,AT1G74090,AT2G35880,AT2G07674
AT4G09500,AT5G26200,AT2G24820,AT3G14420,AT1G50520,AT2G07827,AT1G42540,AT1G66100,AT1G44100,AT1G29460,AT1G62035,AT5G15840,AT2G07835,AT2G06908,AT1G78570,AT2G36870,AT2G07676
AT4G17090,AT5G28463,AT2G25630,AT3G15570,AT1G52310,AT2G07830,AT1G44100,AT1G66140,AT1G45191,AT1G29540,AT1G62560,AT5G23350,AT2G10606,AT2G07120,AT1G79380,AT2G42840,AT2G07681
AT4G18975,AT5G33390,AT2G26470,AT3G16130,AT1G53190,AT2G07835,AT1G45191,AT1G66250,AT1G47280,AT1G30360,AT1G63050,AT5G41140,AT2G14750,AT2G07213,AT2G01008,AT2G44830,AT2G07687
AT4G27030,AT5G33806,AT2G27050,AT3G16140,AT1G53720,AT2G15530,AT1G48660,AT1G68470,AT1G47480,AT1G30600,AT1G65570,,AT2G14870,AT2G07240,AT2G01023,AT3G01370,AT2G07698
AT4G36770,AT5G35945,AT2G29630,AT3G20950,AT1G54510,AT2G17730,AT1G50160,AT1G68845,AT1G47530,AT1G31500,AT1G66173,,AT2G17730,AT2G07599,AT2G01918,AT3G05410,AT2G07706
AT5G15780,AT5G56000,AT2G30505,AT3G21670,AT1G56230,AT2G18800,AT1G50180,AT1G70830,AT1G48660,AT1G31910,AT1G66250,,AT2G18800,AT2G07667,AT2G03520,AT3G12690,AT2G07714
AT5G24210,AT5G57320,AT2G34430,AT3G21870,AT1G61420,AT2G20300,AT1G51440,AT1G70850,AT1G48760,AT1G32010,AT1G67580,,AT2G18960,AT2G07674,AT2G04190,AT3G14660,AT2G07715
AT5G34829,AT5G66520,AT2G37025,AT3G22235,AT1G62760,AT2G22840,AT1G52310,AT1G70890,AT1G50160,AT1G32450,AT1G67635,,AT2G23950,AT2G07676,AT2G04570,AT3G16940,AT2G07721
AT5G35740,,AT2G39805,AT3G25850,AT1G66140,AT2G23950,AT1G54060,AT1G71140,AT1G50430,AT1G33680,AT1G68190,,AT2G26770,AT2G07681,AT2G05920,AT3G17400,AT2G07722
AT5G48000,,AT3G03405,AT3G26290,AT1G67481,AT2G27060,AT1G54090,AT1G74780,AT1G50520,AT1G34042,AT1G68210,,AT2G37710,AT2G07687,AT2G06510,AT3G20950,AT2G07727
AT5G51460,,AT3G03726,AT3G26650,AT1G67580,AT2G28250,AT1G56230,AT1G76170,AT1G51440,AT1G34370,AT1G68845,,AT2G44830,AT2G07698,AT2G07120,AT3G21870,AT2G07763
AT5G54800,,AT3G04300,AT3G28220,AT1G67900,AT2G34208,AT1G56270,AT1G76620,AT1G51580,AT1G35410,AT1G70830,,AT3G01460,AT2G07706,AT2G07240,AT3G24515,AT2G07765
AT5G66520,,AT3G13405,AT3G28410,AT1G68470,AT2G35880,AT1G56570,AT1G77720,AT1G53190,AT1G35580,AT1G70850,,AT3G04130,AT2G07714,AT2G07669,AT3G25690,AT2G07774
