gene,meth_shift,rna_shift,meth_z,rna_z,corr_type,anti_score,abs_score,coverage
AT1G13470,-0.14705607777424334,0.9540550391172937,-5.330222801322424,34.933019984783265,anti,186.20077964194368,186.20077964194368,1138.0
AT5G24210,-0.09248796087851958,2.8099719782248482,-3.4182109773500398,19.195345781007543,anti,65.61374166266975,65.61374166266975,2078.0
AT4G37640,-0.06456154460410439,0.5302120343036457,-5.048303591325211,9.788762496869959,anti,49.41664486757815,49.41664486757815,3596.0
AT3G55980,-0.08981488874793629,2.801631187878459,-4.424949861297736,11.141402682560075,anti,49.30014825485643,49.30014825485643,1898.0
AT1G36675,-0.13716387850399508,0.5300014111097413,-3.795149431411173,11.264156271077542,anti,42.749156267506535,42.749156267506535,1522.0
AT3G50950,-0.06207963312634965,0.9633879398796099,-4.695694205990715,6.965131107601078,anti,32.70612578592807,32.70612578592807,2907.0
AT2G11778,-0.12772581127336569,2.5018321353999022,-1.9517711878152821,16.507873193644567,anti,32.21959127146371,32.21959127146371,132.0
AT3G05840,-0.07789906541495517,0.9029773839169233,-5.4262881354176535,4.34041676637929,anti,23.552352002171798,23.552352002171798,1728.0
AT2G43160,-0.0726099387883084,0.8933025012951232,-6.67337304293169,3.528033013094333,anti,23.543880404156788,23.543880404156788,3867.0
AT3G45140,-0.09296214389345553,0.7140008054303927,-3.202087740218696,6.856374218089119,anti,21.954711826094716,21.954711826094716,3429.0
AT3G50470,-0.055604674972181634,0.5426505597972185,-2.539362710355344,8.326142717586082,anti,21.143096338134804,21.143096338134804,1180.0
AT3G04240,-0.0618906494055457,0.6028680082189587,-6.157520316894358,3.125358743791831,anti,19.244459962481628,19.244459962481628,4479.0
AT3G07700,-0.05566136246756889,0.5105888114231038,-4.56888801544072,4.120785783067243,anti,18.82740877845443,18.82740877845443,3133.0
AT1G44446,-0.06823713040140794,1.492657718387313,-6.842094638793684,2.697983754942399,anti,18.45986018524384,18.45986018524384,2124.0
AT2G11773,-0.2139245864790998,1.0378258032536427,-2.272763290717318,7.502342795999557,anti,17.051049301125317,17.051049301125317,132.0
AT3G06670,-0.058346045087541626,0.639971514614269,-5.822951018178643,2.817284783836809,anti,16.404911300541748,16.404911300541748,4562.0
AT4G02260,-0.07935907524024585,0.6705735725799447,-4.711235023977268,3.3295856223110336,anti,15.686460399162888,15.686460399162888,3872.0
AT3G13060,-0.0854827180468117,0.5362123704797371,-4.430992197566597,3.0717536926596334,anti,13.610916645021216,13.610916645021216,2636.0
AT3G62010,-0.05384535750055208,0.5128783186941513,-4.912579417219773,2.6735552578173145,anti,13.134052530353044,13.134052530353044,5587.0
AT5G23630,-0.05544156929081398,0.6624938876787958,-4.134836083906918,3.0654771684107893,anti,12.675245610337734,12.675245610337734,4468.0
AT2G21520,-0.05061565148537757,1.2764137491652487,-5.279932526508342,2.3323438749874548,anti,12.31461828854877,12.31461828854877,2131.0
AT3G12360,-0.05310829262198813,0.7882349746056359,-2.9011244131653475,4.10240953859705,anti,11.901600465226291,11.901600465226291,2508.0
AT3G26290,-0.06628751718587958,0.5413311862799565,-2.0931982219637355,5.535147238015638,anti,11.586160356921814,11.586160356921814,1222.0
AT1G34260,-0.05834349169366926,0.6186842708738295,-4.021672455746142,2.342074755759147,anti,9.419057534534934,9.419057534534934,5197.0
AT2G10940,-0.2350969102708735,1.6180544057251542,-3.3995498506491475,2.6019519735248964,anti,8.845465442992817,8.845465442992817,1259.0
AT5G35460,-0.06083356082966143,0.5378756050280864,-3.354407638291165,2.588452120847432,anti,8.682723565521592,8.682723565521592,2605.0
AT1G21580,-0.07009962116205945,0.6990342304428538,-5.714029801392405,1.4602603891632804,anti,8.343971381471855,8.343971381471855,7107.0
AT2G13360,-0.0687033053815164,2.26586944775531,-2.645770839228537,3.0325806625192473,anti,8.023513484501782,8.023513484501782,1826.0
AT5G53170,-0.05583769998316143,0.6531800129196994,-2.965321547533674,2.521173871702616,anti,7.476091206838666,7.476091206838666,3301.0
AT2G06002,-0.18141025663179694,0.5033198858614124,-4.006522505358704,1.8594359317701596,anti,7.449871907909776,7.449871907909776,386.0
AT3G50670,-0.052778874866569625,0.8042597363731123,-3.1632692149326687,2.233776496147176,anti,7.066036423302525,7.066036423302525,2555.0
AT4G30100,-0.06577239249494563,0.5174239675637957,-4.16441493499655,1.482961241051346,anti,6.175665940255245,6.175665940255245,6308.0
AT5G35170,-0.05493537183597727,1.2988468257039356,-3.590978485905174,1.597542125888329,anti,5.736739404392204,5.736739404392204,2942.0
AT4G08920,-0.05099660864140465,0.91472963678607,-1.886285255842354,2.7490321089545606,anti,5.185458734958199,5.185458734958199,1994.0
AT3G08530,-0.051038537026689895,0.5432009848424582,-3.7503869621104347,1.3100653406438492,anti,4.913251973063457,4.913251973063457,6028.0
AT3G61470,-0.12901087932246239,0.8289325279061197,-2.8756102381243642,1.4320864907044704,anti,4.118122574549367,4.118122574549367,1804.0
AT4G11830,-0.05989861245441322,0.5769708438917833,-7.185500836311407,0.5159834775910329,anti,3.707599709753235,3.707599709753235,3364.0
AT5G35790,-0.052252370745778515,0.6292431678293586,-2.859106091192618,0.6889198380011882,anti,1.9696949051726287,1.9696949051726287,2047.0
AT3G13750,-0.05428184827524157,0.506298822664986,-2.3251220497233374,0.24185038571623457,anti,0.5623316645629111,0.5623316645629111,2430.0
