gene,meth_shift,rna_shift,meth_z,rna_z,corr_type,anti_score,abs_score,coverage
AT5G48380,0.08748643604324978,1.5632891115084253,3.8777198254840797,20.24755472161615,positive,-78.51434436158473,78.51434436158473,2841.0
AT3G47480,0.05147909081440735,1.2338276789167615,2.7841730607327966,25.360843076312413,positive,-70.60897609054088,70.60897609054088,606.0
AT5G41180,0.06812881991510855,0.556521609692286,4.567362154555803,8.76434184931728,positive,-40.02992327216136,40.02992327216136,2193.0
AT5G46470,0.09002779872609229,2.3929092478042513,5.222627578163276,6.458263799642585,positive,-33.729106627066905,33.729106627066905,5255.0
AT5G41100,0.09295894757080386,0.6665317134552586,4.280240139108676,7.57388344283373,positive,-32.41803992094754,32.41803992094754,3757.0
AT5G41790,0.06976600167471828,1.6191205461321765,9.724191158938591,2.1366699852213626,positive,-20.777387379859025,20.777387379859025,4523.0
AT5G48530,0.05671027838237355,0.7631844508525494,3.1501425270382764,5.784663953309107,positive,-18.22251592394438,18.22251592394438,1753.0
AT5G42240,0.11174425081341427,0.6357027643178722,5.447980274148197,3.321696828537184,positive,-18.096538798571203,18.096538798571203,2702.0
AT5G45430,0.08781468173945087,1.7517079026905664,5.007122347805793,2.689278423849944,positive,-13.465546095530993,13.465546095530993,4052.0
AT5G48790,0.13150012605321423,0.7333046719488168,5.701834812242929,2.1902070835742813,positive,-12.488198995144895,12.488198995144895,1307.0
AT5G44290,0.07012294470325317,1.1811275422239622,3.5607337948867697,2.9766165604488535,positive,-10.59893918120985,10.59893918120985,2043.0
AT5G43900,0.07481223518537489,0.5785023479573723,6.538125409651314,1.4781999881212935,positive,-9.664656902882099,9.664656902882099,6735.0
AT5G40910,0.06528996517113736,0.6657019907701545,4.1278477376997635,2.305489801095467,positive,-9.516710859741801,9.516710859741801,7308.0
AT5G11850,0.05349051156414643,0.9994802267402438,3.80888260811973,2.297784683263055,positive,-8.751992117284553,8.751992117284553,3558.0
AT2G11225,-0.12119681856072378,-0.5545995248435771,-8.072177311320456,-0.9096723649988673,positive,-7.343036625479076,7.343036625479076,2808.0
