gene,meth_shift,rna_shift,meth_z,rna_z,corr_type,anti_score,abs_score,coverage
AT5G36920,-0.07876040859696237,1.6930455142671972,-5.198028702461957,86.50950996234445,anti,449.67891582018507,449.67891582018507,313.0
AT1G62975,-0.09794183293732832,1.3496407318840669,-5.1774343588490055,51.412361397318456,anti,266.18412636803885,266.18412636803885,604.0
AT4G04745,-0.2452166258699433,1.00223968787832,-3.7283794684103486,52.7691272034925,anti,196.74333043143545,196.74333043143545,231.0
AT3G23450,-0.24268488140591504,2.7567414151619305,-5.384321203262275,24.66738160326523,anti,132.81710579542275,132.81710579542275,942.0
AT5G52060,-0.051659616597516,1.9720893151788408,-8.374827872397299,14.54560538800904,anti,121.81694142439044,121.81694142439044,1609.0
AT1G45191,-0.139946356916632,1.7820037559321642,-9.275984492640395,12.654244660476223,anti,117.38057723665497,117.38057723665497,1335.0
AT1G29500,-0.05387684821243619,3.403336569404061,-2.0176505463606014,56.31283854647972,anti,113.61962946042114,113.61962946042114,284.0
AT4G17480,-0.05082611726012015,1.4374262251346341,-1.8987446032001445,59.06594189112185,anti,112.15113839870095,112.15113839870095,898.0
AT1G70830,-0.10530964417239327,1.5778127576231187,-3.70194169119908,28.909765385108216,anti,107.02226576191613,107.02226576191613,1346.0
AT2G33060,-0.12019180837491836,2.3872064924934118,-4.341369858319355,21.5272677566057,anti,93.45783137049811,93.45783137049811,1424.0
AT1G70890,-0.06021417613488371,3.5419244178694553,-2.149738967228453,41.49886485940158,anti,89.21172688400308,89.21172688400308,676.0
AT4G15760,-0.07378883296436832,2.312344537933665,-3.579723730380225,20.685640950383217,anti,74.04887978821175,74.04887978821175,1372.0
AT5G18050,-0.05282586507939059,1.7213456888404237,-1.9827855519767055,34.191079671358054,anti,67.79357877885319,67.79357877885319,456.0
AT5G04870,-0.07480377152679786,1.09400751797188,-4.915265549562477,13.732914115370226,anti,67.50091964637953,67.50091964637953,1826.0
AT1G21980,-0.0678919816822855,1.5086340983767281,-8.614967821019388,7.1239919455552805,anti,61.37296136816004,61.37296136816004,2057.0
AT3G18217,-0.08940900116385811,1.7093286805046046,-1.249604237842573,46.123564544278324,anti,57.63620171893563,57.63620171893563,13.0
AT3G55360,-0.06737328788428361,1.3037960413144125,-4.091385228315094,13.341220000564745,anti,54.58407043801248,54.58407043801248,1199.0
AT1G11350,-0.08993877697253547,2.246101591793125,-4.212547770148919,12.117485393987979,anti,51.045486076256154,51.045486076256154,2151.0
AT4G18970,-0.07457287821099351,2.723906888350328,-4.577636846656686,10.871458486818897,anti,49.765588946160726,49.765588946160726,1335.0
AT4G14548,-0.3071067496180373,1.62730523444942,-7.038491042752963,7.068070320886507,anti,49.74854964310774,49.74854964310774,287.0
AT5G48230,-0.065445461636647,1.208514147936515,-2.481864029016226,19.23356002600666,anti,47.73508077847032,47.73508077847032,1234.0
AT2G31510,-0.06334300146805741,0.8902128346780187,-5.62917524581272,7.3308864861889464,anti,41.266844737917815,41.266844737917815,2338.0
AT5G09870,-0.06087591122561614,2.0785097589810957,-5.173823740404541,7.708729923476147,anti,39.88360988644777,39.88360988644777,3272.0
AT3G18370,-0.064271041594965,1.947173595628012,-3.1042807708985283,12.241292777802741,anti,38.00040978107208,38.00040978107208,3725.0
AT4G30400,-0.06186167939717151,0.7794059973892771,-2.477238892569432,15.334275143147245,anti,37.98666277396505,37.98666277396505,830.0
AT1G29460,-0.09074451880342305,2.29644206408727,-2.2581933314048297,16.621586613792413,anti,37.53475604863381,37.53475604863381,308.0
AT5G11790,-0.08628154246749353,1.724631769853736,-4.305472437607757,7.718794669932851,anti,33.23305770294956,33.23305770294956,1533.0
AT2G39770,-0.07871423578692062,1.3027929211498774,-3.2925037786782494,8.659281294544588,anti,28.51071638292594,28.51071638292594,1332.0
AT1G23030,-0.053344967122903306,1.6798131146129869,-3.24877340404345,8.472728944047734,anti,27.525976453091424,27.525976453091424,2669.0
AT5G57210,-0.0646535070302929,0.523285129438715,-3.8253456473483016,6.979888419633984,anti,26.700485785023677,26.700485785023677,2520.0
AT4G01090,-0.05582795807559246,0.5474992138215283,-3.931916097864058,6.497193298002276,anti,25.54641891934962,25.54641891934962,2099.0
AT1G63120,-0.051230370014548166,0.7789433174734592,-3.7589912663126475,6.780661907983657,anti,25.48844889192942,25.48844889192942,1236.0
AT5G64740,-0.07079948256161911,2.74007217558836,-5.024383801022484,5.025299110396897,anti,25.24903144557087,25.24903144557087,3233.0
AT1G28440,-0.053300103048511314,1.5480517933334266,-2.60154971131879,9.500515694490174,anti,24.716063862380544,24.716063862380544,3732.0
AT1G24160,-0.05445653371856146,1.7612804640000153,-4.01284780246594,6.005875295583146,anti,24.100663481765302,24.100663481765302,1420.0
AT4G09150,-0.07486392770673111,1.6071690884748762,-2.970475958263545,7.721657700952818,anti,22.936998558620903,22.936998558620903,3081.0
AT1G52310,-0.05077904698078316,1.109740166008108,-4.382781883517532,4.74429294885804,anti,20.793201186354985,20.793201186354985,2387.0
AT5G05010,-0.06201506399390798,0.6473857131891969,-5.95574336474636,3.3206734616440676,anti,19.777078935675984,19.777078935675984,1966.0
AT5G60550,-0.07238395366618375,0.669542094552489,-3.7882325641646575,5.19883079055676,anti,19.694380096369006,19.694380096369006,1939.0
AT3G29390,-0.05294707942812371,0.9280451358969504,-5.8551816233475025,3.0453987700130214,anti,17.83136291394533,17.83136291394533,2758.0
AT5G61380,-0.05282266304129425,0.6007170195765361,-2.959801809784809,5.364499244871704,anti,15.87785457356051,15.87785457356051,1695.0
AT5G43630,-0.06983479087623759,0.7735102592752738,-2.501259950589654,5.739008803426102,anti,14.35475287609116,14.35475287609116,1949.0
AT3G12360,-0.07361929197761907,0.65462562205554,-4.021570167137923,3.4070327791205743,anti,13.70162138297231,13.70162138297231,1781.0
AT5G37510,-0.05148928750201395,0.5356948716346466,-3.043404062719082,4.3794707276099425,anti,13.328499004967394,13.328499004967394,2118.0
