gene,meth_shift,rna_shift,meth_z,rna_z,corr_type,anti_score,abs_score,coverage
AT5G25090,0.06394637711811038,1.032119360593844,2.72415792764012,1032119.360593844,positive,-2811656.138432572,2811656.138432572,140.0
AT1G20930,0.06491417500454966,1.380810999685547,9.53050933504933,109.83486719700615,positive,-1046.7822271349705,1046.7822271349705,372.0
AT1G76540,0.08106957547223048,0.9500569423304926,11.246045251142778,50.614512819917806,positive,-569.2131015373419,569.2131015373419,319.0
AT3G19050,0.05390477574051397,2.2378173753020345,4.789294998355677,70.49647204362788,positive,-337.6284009602678,337.6284009602678,1799.0
AT3G44960,0.06420492670248233,1.1833940134272851,3.0797855358037087,101.19787448238516,positive,-311.667750084929,311.667750084929,185.0
AT3G52900,0.08691395540008495,0.7602715355324561,10.543430196794304,22.308001009341005,positive,-235.20285147200377,235.20285147200377,83.0
AT5G60930,0.05721594541288186,2.369636826480287,4.220225910894974,49.049501463185585,positive,-206.99997699141673,206.99997699141673,962.0
AT1G65720,0.05857066896807117,1.159312564925247,17.48316182945802,9.832627628899392,positive,-171.90542004484817,171.90542004484817,313.0
AT1G59540,0.06079886150872642,0.7441748885224965,4.718343302831694,33.10502165978284,positive,-156.20085723853455,156.20085723853455,718.0
AT1G77720,0.07507575108746009,0.6726750049764438,5.256175483093424,28.122723373347114,positive,-147.81796911280549,147.81796911280549,673.0
AT5G10080,0.0581126445975271,1.1601748276414023,4.517145595202086,28.650678762878822,positive,-129.41928737328803,129.41928737328803,537.0
AT3G57060,0.05492415918153559,0.7164889024564723,8.4720239793324,13.85642855780458,positive,-117.39199500962667,117.39199500962667,1005.0
AT5G44040,0.050533410277575866,1.0669439551382978,2.6439508130494627,42.159626848266235,positive,-111.46797968333547,111.46797968333547,369.0
AT1G50010,0.05672669013780905,2.941619913676543,9.65723435609174,11.159975953125223,positive,-107.77450318767856,107.77450318767856,559.0
AT4G14150,0.053016507393286005,0.9546112809254809,2.653221019506538,40.49652378853059,positive,-107.4462281326759,107.4462281326759,988.0
AT4G39860,0.0563793107090661,0.6813724782730711,7.478373455570078,13.259323782531357,positive,-99.15817501409154,99.15817501409154,507.0
AT3G60380,0.07863554663981144,0.7530792317735737,7.912819556732271,10.683717152088134,positive,-84.53832601963899,84.53832601963899,677.0
AT5G12080,0.142407127167691,0.6775441398793587,6.943459310851784,11.2923655336502,positive,-78.40808060616526,78.40808060616526,622.0
AT5G07180,0.08334281851421443,0.5865732049170278,6.085460772663605,12.844861573337283,positive,-78.16690123483816,78.16690123483816,761.0
AT4G12420,0.1409411926609422,1.522168734369893,9.572372448187961,6.166038853776505,positive,-59.02362043834669,59.02362043834669,508.0
AT3G17840,0.05690633243814529,0.8372162162003332,3.444218588518284,15.669153402718957,positive,-53.96798941598915,53.96798941598915,722.0
AT4G29030,0.0595112256394954,0.6995934389122049,4.076291099962372,12.379201313833878,positive,-50.46122814022354,50.46122814022354,113.0
AT5G28640,0.05691755286114319,0.502064935403397,5.813903628877637,8.599578259243048,positive,-49.99711924823038,49.99711924823038,223.0
AT1G32930,0.07403632968690907,0.6308827609534836,5.024242729692846,9.055383786970681,positive,-45.49644615626592,45.49644615626592,289.0
AT1G67230,0.05976948230525653,2.5377351201618263,4.70476282439177,6.450346452017874,positive,-30.347350191901047,30.347350191901047,872.0
AT1G69295,0.07438667343213007,1.2281124463335222,5.321947527794915,5.556646010261731,positive,-29.572178497143895,29.572178497143895,407.0
AT3G47460,0.05665233310079712,0.6471884166805635,4.905467090078843,5.985698721255387,positive,-29.362648088245315,29.362648088245315,686.0
AT1G02280,0.05172206512728483,0.5521959638011829,6.44359256076995,4.547912841107626,positive,-29.30489734999123,29.30489734999123,412.0
AT5G16000,0.06860318467916604,0.7816216696384026,7.81996234460216,3.708251188744194,positive,-28.998384660305796,28.998384660305796,298.0
AT1G60220,-0.08235170402902171,-0.5309441693512678,-13.389635932937956,-2.085024252360803,positive,-27.917715650457307,27.917715650457307,795.0
AT1G07970,0.05217340580072871,0.814425376002488,2.176891792474514,12.247010401097594,positive,-26.660416424499356,26.660416424499356,707.0
AT3G48670,0.0671654485569805,0.5377241534144113,4.078529227391588,5.796411825032682,positive,-23.64083504239401,23.64083504239401,398.0
AT1G30360,0.07519455997322622,1.3187695709755087,6.88335088351755,2.6485836645447307,positive,-18.23113070741412,18.23113070741412,724.0
AT4G20170,0.07408825461936433,0.6137191031890973,3.338882027547819,5.147413168069935,positive,-17.186605315231688,17.186605315231688,890.0
AT1G20920,-0.060557690544003784,-0.9982037574759758,-5.013927232539739,-2.8573333366113443,positive,-14.326461428879256,14.326461428879256,669.0
AT1G08520,-0.058493265482146214,-0.7452985102301342,-8.161558118075302,-1.732351927721214,positive,-14.138690939056474,14.138690939056474,704.0
AT3G22960,0.07624218896664803,0.5751771226495987,4.851168152005794,2.904680055143775,positive,-14.091091375279914,14.091091375279914,587.0
AT3G05545,-0.12856425811376865,-0.6053509465907042,-11.076632159916057,-1.25860708459286,positive,-13.941127709899463,13.941127709899463,662.0
AT4G13020,-0.061569968102683476,-1.2366705412395105,-4.478996763256024,-3.00665058960136,positive,-13.466778259066308,13.466778259066308,477.0
AT4G02430,-0.06610839582379663,-0.801395532918127,-5.300661686829943,-2.515133843702729,positive,-13.331873602564386,13.331873602564386,532.0
AT5G26742,0.07710825158912005,0.5765375846599747,5.2904625803236005,2.4062720191578206,positive,-12.730292075434164,12.730292075434164,760.0
AT4G18130,-0.07834631555239138,-1.1424980688516093,-4.73265999095705,-2.6807722135743686,positive,-12.687183400052781,12.687183400052781,879.0
AT5G47040,-0.052378787669556476,-0.6001366921312596,-6.553887069477553,-1.8934787793913554,positive,-12.409646088583145,12.409646088583145,746.0
AT5G54310,-0.07044734249220741,-0.5737562195938489,-5.939783006977663,-1.853104113179536,positive,-11.00703632162422,11.00703632162422,566.0
AT5G32450,-0.05128250168148513,-0.7247223651743704,-6.236311802343684,-1.7253180064504912,positive,-10.759621046423273,10.759621046423273,415.0
AT1G60900,-0.05246945733980657,-0.5909862318967042,-4.544503790739446,-2.155015251433933,positive,-9.793474979242829,9.793474979242829,604.0
AT3G55980,-0.08020070806479929,-0.6275601694125178,-3.951283767920585,-2.4656448715951913,positive,-9.742462558590715,9.742462558590715,522.0
AT2G12461,-0.06674236723603484,-0.609806422570143,-3.9567139291817104,-2.4556456322906515,positive,-9.71628727841865,9.71628727841865,20.0
AT5G47390,-0.08253860478200861,-0.8703913368759217,-4.286684086858295,-2.2347031749823385,positive,-9.579466539048498,9.579466539048498,617.0
