gene,meth_shift,rna_shift,meth_z,rna_z,corr_type,anti_score,abs_score,coverage
AT1G27680,0.05440688519236124,3.9696793300484554,6.243544611719515,61.564318258773156,positive,-384.3795675387485,384.3795675387485,503.0
AT2G18840,0.09550536423488737,0.71736303879385,12.903392116901909,26.51188223986828,positive,-342.0932122981481,342.0932122981481,373.0
AT1G77920,0.06353260727404172,2.1233267869012673,3.7913478651066344,57.970117587926936,positive,-219.78488155696735,219.78488155696735,386.0
AT5G21900,0.05991334891602679,0.6620616485712916,11.66825650051067,18.768302468997074,positive,-218.99336728742557,218.99336728742557,767.0
AT1G68140,0.13270015974429306,1.0245514211301525,10.20834722705801,15.71059869813977,positive,-160.37924665557628,160.37924665557628,580.0
AT5G50330,0.06328788593753122,0.7754072267979741,11.9262345485001,12.137300476898558,positive,-144.7522922731143,144.7522922731143,424.0
AT1G63300,0.07741709736664189,1.2745087777891677,7.385963843372328,19.36069419863519,positive,-142.9973873337079,142.9973873337079,927.0
AT1G03470,0.10100299884783395,0.5518361561996576,8.344738844330193,16.7726175091737,positive,-139.9631128498945,139.9631128498945,243.0
AT2G26770,0.061372687377117985,0.7823434193599788,8.943115807517165,14.520729903977836,positive,-129.86056914095138,129.86056914095138,693.0
AT1G78880,0.0574355108543779,1.7309198033858666,5.3862868569307025,22.87649458862128,positive,-123.21936213533715,123.21936213533715,712.0
AT1G51510,0.07504563244576765,0.6659331721094963,9.744756359855275,12.044480767123023,positive,-117.37053055657663,117.37053055657663,486.0
AT5G55310,0.07950384675545762,2.3162721084928917,11.32288648104061,10.292236173842763,positive,-116.53782183248136,116.53782183248136,557.0
AT5G24750,0.11802426452521506,1.0920433790013366,9.783935460191815,10.312267953627348,positive,-100.89456410649429,100.89456410649429,599.0
AT1G17890,0.0616572010532139,0.8801325011837807,7.530737550409298,13.239131853831983,positive,-99.70042738647238,99.70042738647238,637.0
AT1G05160,0.0987767259912792,1.5717312488721993,7.459622910605441,11.467342741889809,positive,-85.54205264116624,85.54205264116624,455.0
AT1G75020,0.12850543311544022,1.0492012722362716,12.54943384271632,6.809685514329149,positive,-85.45769785177731,85.45769785177731,592.0
