gene,meth_shift,rna_shift,meth_z,rna_z,corr_type,anti_score,abs_score,coverage
AT3G55735,-0.23810203372291702,0.5457491971908994,-2.8733608620714013,153.65907617504914,anti,441.5179755834343,441.5179755834343,127.0
AT1G32780,-0.057086481301044364,2.4719736341949035,-6.238935875172041,68.64830024005178,anti,428.2923431372405,428.2923431372405,5056.0
AT4G04840,-0.07308994044605853,5.257433138303535,-4.004300980285044,50.00183969385395,anti,200.22241570215502,200.22241570215502,2850.0
AT1G66100,-0.38274506791916,6.5691677779843225,-6.5508462572040065,26.416122437844212,anti,173.04795680179453,173.04795680179453,1578.0
AT1G51440,-0.0532145097811711,2.0097618427519715,-4.795887863272858,33.792774383964435,anti,162.06635653437297,162.06635653437297,3971.0
AT3G23450,-0.2067242892560867,3.6582143727418037,-4.586482550633837,32.7337810585586,anti,150.13291564134744,150.13291564134744,2332.0
AT3G08595,-0.19543763103431314,2.36352959966729,-2.70293916646502,42.90810395463523,anti,115.97799473773618,115.97799473773618,176.0
AT5G36920,-0.06108529422656169,0.5538528363608198,-4.031506671236944,28.300206380197373,anti,114.09247081914802,114.09247081914802,894.0
AT1G11303,-0.05706271155623095,0.7360391628830478,-3.6192129562606503,26.805692188149603,anti,97.01550846888594,97.01550846888594,4579.0
AT1G09310,-0.07025986946190421,1.8116844581474925,-4.742444721405797,16.765439640335654,anti,79.50917072435733,79.50917072435733,907.0
AT1G11350,-0.11411317742741453,2.707224400060883,-5.344827084576169,14.605195172760052,anti,78.06224273488904,78.06224273488904,6592.0
AT1G23480,-0.052583840173254806,2.858780891830909,-2.988058588620835,24.832631600547632,anti,74.2013581320735,74.2013581320735,2929.0
AT4G30400,-0.09167738575567955,0.9654687394817459,-3.6712030416271593,18.994931194924266,anti,69.73424917830458,69.73424917830458,2535.0
AT3G55360,-0.08032409355513061,1.1515952255875601,-4.877850260383733,11.783810327169608,anti,57.47966227269679,57.47966227269679,3409.0
AT4G18970,-0.10308452156522127,2.189749200425413,-6.327816701694206,8.739567285057666,anti,55.30237983196819,55.30237983196819,3632.0
AT5G41761,-0.06758625234054122,0.7445036347868812,-3.7331675895616647,14.59380927569438,anti,54.48113579626665,54.48113579626665,1484.0
AT2G33060,-0.08887350377495708,1.7359810798768702,-3.210141820050573,15.654669859697536,anti,50.253710395700296,50.253710395700296,3540.0
AT1G45191,-0.09006525829884326,1.1724787415455133,-5.969744105617608,8.325926814314185,anti,49.7036525235557,49.7036525235557,4103.0
AT4G15760,-0.057959644564382545,1.8239607876709865,-2.811801009940252,16.316685226785417,anti,45.87927199955243,45.87927199955243,4119.0
AT1G21980,-0.08742111963820835,0.7360282550181332,-11.093064510696985,3.4756335986918145,anti,38.555427725834214,38.555427725834214,5885.0
AT3G50480,-0.09696754392579619,4.329654539237012,-2.929544148672122,12.90063657267086,anti,37.7929843856135,37.7929843856135,2128.0
AT1G11410,-0.06396182547965105,1.1414162091072373,-2.6708179448872698,10.973639298744844,anti,29.308592759807887,29.308592759807887,5814.0
AT2G03730,-0.06497324601759277,1.9171235572364713,-5.219921445448517,5.323889640183823,anti,27.790285705996727,27.790285705996727,3941.0
AT5G18070,-0.0597356931579683,0.7200465330452201,-2.523371092521361,9.975050033367056,anti,25.170752900652666,25.170752900652666,3283.0
AT4G14548,-0.24742357882427088,0.9910867772945043,-5.670629660489329,4.304706263904095,anti,24.41039501978877,24.41039501978877,806.0
AT1G76620,-0.05056588087003812,0.5566301177478363,-3.130672927591081,7.492721367284823,anti,23.457259938541824,23.457259938541824,3228.0
AT5G43630,-0.07874446641658348,1.084256003216604,-2.820376172206326,8.0445665367875,anti,22.68870377608383,22.68870377608383,5709.0
AT1G29460,-0.08141567142888147,1.3699423895268188,-2.026043321589707,9.915606598364603,anti,20.089448528127434,20.089448528127434,839.0
AT2G39770,-0.08475541842865587,0.7714340417796588,-3.5451977987211123,5.127495137186911,anti,18.177984473308246,18.177984473308246,3611.0
AT1G70890,-0.05101079717446397,0.7683905077894729,-1.8211641423057403,9.00282729951172,anti,16.395626257241965,16.395626257241965,2137.0
AT4G18975,-0.052133034958725774,1.1214955989360402,-2.314171688271456,6.069143121999029,anti,14.045039184997588,14.045039184997588,2406.0
AT2G03640,-0.07019033869421651,0.9258153820670951,-2.795339327282708,4.910383639167649,anti,13.726188498610911,13.726188498610911,3256.0
AT2G28150,-0.050956065324611555,0.5706873619426673,-3.1644729802189753,3.8061421943116356,anti,12.044434132770531,12.044434132770531,3357.0
AT2G03690,-0.055503768833944964,0.5298286470559552,-2.4440553929899007,2.7331395152326285,anti,6.679944371998109,6.679944371998109,3787.0
AT2G25070,-0.065151458934888,0.7733960224977297,-1.7577587189219384,3.4537513337195516,anti,6.070861519833815,6.070861519833815,2912.0
AT3G13750,-0.09474975332526629,2.5409035366880666,-4.058534255232917,1.4911276005919618,anti,6.051792445925745,6.051792445925745,4347.0
AT2G27050,-0.08068073758267993,1.1681166467236954,-2.468699775112675,2.2166186699163006,anti,5.472166011932928,5.472166011932928,4293.0
AT5G67385,-0.05600335658722577,0.9577116585547563,-1.4888253336017787,1.5944563429541871,anti,2.37386699671224,2.37386699671224,5558.0
AT2G10940,0.051542258670536106,-1.15875625069949,0.531536180377095,-1.4168821513281862,anti,0.7531241267614652,0.7531241267614652,3048.0
