gene,meth_shift,rna_shift,meth_z,rna_z,corr_type,anti_score,abs_score,coverage
AT4G16008,-0.1362920304321715,3.8825501292655358,-3.977508294045511,122.13564968659493,anti,485.7955596270683,485.7955596270683,543.0
AT4G00070,-0.059912216120366346,0.6926004163383197,-5.658798413774201,52.946427252871764,anti,299.61315855356185,299.61315855356185,943.0
AT3G02210,-0.0760043747734873,0.6146821623296101,-6.394170755825584,35.280811486335345,anti,225.59153304772082,225.59153304772082,987.0
AT1G73630,-0.11001315862428596,1.3244381210530565,-1.3974312654854981,85.57500741577508,anti,119.58519090695745,119.58519090695745,706.0
AT3G62930,-0.08149363189864214,0.7734011253298343,-3.5133695667983074,32.82821096977153,anti,115.33763735362965,115.33763735362965,244.0
AT1G23130,-0.05077929192957151,4.030910433756486,-2.6632254631445873,34.12301586213398,anti,90.87728472332188,90.87728472332188,406.0
AT1G33340,-0.05558909953113017,0.9408716813958078,-2.0317540032648935,34.863816697142795,anti,70.8346991435133,70.8346991435133,1119.0
AT4G15940,-0.07465435879243501,0.5505097339132929,-4.5853475369498895,7.660009024373691,anti,35.12380351292583,35.12380351292583,922.0
AT5G35490,-0.16933510295297982,1.1871101963877713,-3.5215597260446834,8.817807131739553,anti,31.052434467163593,31.052434467163593,285.0
AT2G07698,-0.18123414865367277,1.1950780055362524,-4.86674674316325,5.829414458153742,anti,28.37028382876849,28.37028382876849,1379.0
AT2G47390,-0.05311545267855042,0.525824657386818,-4.2226769081323265,4.831805320551065,anti,20.403152751681898,20.403152751681898,2785.0
AT5G43600,-0.06150766143289871,0.7146129398261495,-1.9976526528617669,8.03325546876588,anti,16.047654098296455,16.047654098296455,1210.0
AT5G35670,-0.0536286801623395,0.5823119991398461,-2.2443795538173212,6.141787713657748,anti,13.784502768419882,13.784502768419882,958.0
AT1G55860,-0.056111527847536063,0.642671991074866,-6.39466532663513,2.060889146387584,anti,13.178696366443354,13.178696366443354,7964.0
AT4G14990,-0.050694215834369005,0.7434562009062446,-2.0527043042055255,2.913148219267541,anti,5.9798318884791435,5.9798318884791435,2582.0
AT1G30360,0.056688577523650446,-0.6123746129780223,5.189303193232458,-0.9799821352359224,anti,5.085424423690535,5.085424423690535,2140.0
AT5G67385,0.05999346379276753,-1.0527969670021464,1.6122011701697427,-1.6467868321473922,anti,2.6549516578081493,2.6549516578081493,2011.0
AT2G10940,0.06417053443981888,-0.7369210036614551,0.6617669005723334,-0.830129064074381,anti,0.5493519378075151,0.5493519378075151,859.0
