dmw	3 Early M	0 Mid M	7 Expanding M	1 Late M	10 Senescent M	5 Early E	13 Expanding E	4 Abaxial E	6 Adaxial E	8 Senescent E	14 Guard cell	2 Vasculature	11 PPP	9 Phloem	16 Myrosinase	12 S phase	15 G2M phase
dmw=9	0.08866900449629467	0.10637071558912747	0.03137036534044446	0.119555220808786	-0.14464534464133505	0.05809311388680116	-0.4296276846531828	-0.4856010658778594	-0.16520133479077492	-0.2753715541359346	-0.026571458574754736	0.07948230664071032	0.10908900851481051	0.17482176741822175	0.12280159959322368	-0.04721013389603412	0.07026545918127303
dmw=44	-0.05898274172261253	0.025557578945233028	-0.06922320466925924	0.06271172657176238	0.10962122078198933	-0.06705620785094557	-0.08254933615843096	-0.02224059015970825	-0.012406342886859378	-0.11195625498700784	-0.021470102250477185	-0.042468906544122165	-0.00576580750781841	-0.03108290464527086	0.27195362606046225	0.08064606121786921	-0.19069636421235292
dmw=45	0.17580003989768922	0.03823251994601512	-0.3321879239749131	0.163257723782523	-0.32588346210445857	-0.4596677782425353	-0.47396970070801825	-0.0045439920649447685	-0.14620315644288717	-0.37768808964012257	-0.5586315268307995	-0.10051544728762019	0.18137970357689875	0.1366118336738123	-0.3576858589075883	-0.3710707299896687	-0.30103467665634087
dmw=48	0.01902457520289602	0.02663166198497291	-2.7492517074900746e-05	0.017228791094361262	0.039721753443941465	0.0034359761140728695	0.0042290586900057825	-0.03676840233862744	0.027914615654168307	0.0014152320385412143	-0.10567222653817165	-0.02938652254339169	0.03750861551017304	-0.029688940154357635	0.06980169831371519	-0.23430947099659116	0.026713053622436145
dmw=49	-0.0467011732260888	0.018469670346366263	-0.057661943714180874	0.0652065081488602	0.08296519628044363	-0.07885129296490268	-0.027514320443042806	-0.01797367382586823	0.06779368014957554	0.011566260705328735	-0.20826846517763586	-0.06151411136691709	0.0016069558783475824	-0.10916393779540429	0.16300212890690258	-0.160833483326508	0.0313225574078998
dmw=50	-0.012176812900745996	-0.003235449335945927	-0.01036806661337162	0.00536534443398012	-0.007980940594613378	0.002775712653491186	-0.010499298264155393	-0.009418602242386151	-0.001064973371747508	-0.010277643396159287	-0.014685987024084746	-0.011609672240554592	-0.01043683359129947	-0.00634963940632204	0.24348491759852905	0.08232539438184437	-0.015925557589024142
dmw=81	0.08113549926541952	0.11904897548037435	0.08130233289069339	0.15086906927864258	-0.009383979471881465	-0.15050979831973982	-0.38616831791185674	-0.4055500290592238	-0.41881613524011657	-0.32980960039923096	-0.029276060066899867	0.06752159774476102	0.1832155560188003	0.20477247891739964	0.2973256502782458	-0.030436151200924133	-0.02274994280807008
dmw=131	0.09751304044431353	0.12669588632318873	0.04531672322091895	0.18190797599659414	-0.04871978409682565	-0.10602453161259301	-0.13476493229451947	-0.15343796513714675	-0.23283696937328505	-0.2767951762957554	-0.3325938606211787	-0.18637321784437438	-0.391630595595657	0.1256242916239897	0.2981127459274079	0.032251697354088726	0.03390479428637849
dmw=145	-0.06273180853894827	-0.13170422016864686	0.029845300156037313	-0.10137044566113958	-0.09520955493876147	0.038983762900213215	0.24327208302544945	0.08561678916289991	0.17055261650397335	0.1133247111164101	0.14997213834689904	0.06469669602011163	0.17595919231695756	0.1300017064172887	0.2929327953316435	-0.07557249543550151	0.22461784553308844
dmw=158	0.011590173929690417	0.052419378790223736	0.00911280890190136	0.06491101105145403	-0.027242200211745393	0.02139317911148575	-0.10797897927374034	-0.02894652632155137	-0.20193554345087317	-0.16882457080504987	-0.10280382276000688	-0.006746913202114735	-0.03653528038395515	0.012546075814609536	0.05170911965387537	-0.07020093325036192	-0.0320828432354715
dmw=266	-0.003920885769220776	-0.009156254363548555	-0.0053428098958830175	-0.0019462320264476505	0.014289956912286515	-0.008078414603346048	-0.014491832689121846	-0.0062335762258008895	-0.009022604210998313	0.008284811785659523	0.4797619818553619	-0.01601760999880262	-0.014405960594873136	-0.00877819515822898	-0.00900634183656901	-0.011856519634961009	-0.021935775093362236
dmw=300	0.007267300512317276	-0.006028152892355809	0.026805448041206437	0.01008728098343914	0.017861630763058023	0.03201531170449712	0.007315969564499647	0.0019683195256233743	0.03575778527300755	-0.028901778087918717	0.04799897843763745	0.022968901280080778	-0.00848706276580169	-0.1465227098203189	-0.13248125216746054	-0.23831684914957763	0.04437553737554201
dmw=325	0.010930176202391118	0.055201945418206666	-0.03467267503746807	0.11037205035896858	0.1092876422851643	-0.08492426312197843	-0.19859221961309387	-0.15106549847607215	-0.046546118947466186	-0.21785473708908948	-0.08314119425371502	-0.03325664653881555	0.0613890103476048	0.0699439890478804	0.16041522369499428	0.07756406433076157	-0.14688027113266688
dmw=329	-0.09042206702813216	0.019605974711677354	0.049552876975943794	0.07363355572353147	0.10220457440564579	0.0441145492742957	0.22780863731054868	0.007195341595074178	-0.09348797094935035	-0.0047337370599346285	-0.03178712116783344	-0.16493544397932774	-0.15443026314870212	-0.1668696775377826	-0.14401423863699392	-0.009443521769604168	0.09967427665493078
