dmw_id	gene	rho	p_value	fdr
dmw=9466	AT3G03405	0.13118812804325045	0.44872505188967293	0.6607010282187223
dmw=9488	AT3G03726	-0.8022320747775178	0.008937374886999892	0.03878125922698186
dmw=10308	AT3G13405	0.44006186477508347	0.1392572062642673	0.3064656797356994
dmw=10396	AT3G14210	-1.0127117064715063	1.771397247575112e-08	3.625459700037063e-06
dmw=10588	AT3G16680	-0.3115410089317914	0.22566261426099768	0.4205063585925723
dmw=10628	AT3G17210	0.14351158130653857	0.6055810058591338	0.786103039318199
dmw=10666	AT3G17740	-0.015719185844628236	0.9747153716284809	0.9922945584412636
dmw=11491	AT3G05245	0.04883291057655331	0.8328026580430492	0.9206582089804028
dmw=11531	AT3G27930	-0.3409515297751137	0.17193769143888765	0.3530760620183178
dmw=11534	AT3G27940	-0.33365349484803497	0.13442184855539513	0.2996683978748806
dmw=11677	AT3G05955	-0.2733979273770757	0.13025673393882983	0.29507326523011523
dmw=11681	AT3G29770	-0.007219649044785678	0.949593166316473	0.9799163094425452
dmw=11715	AT3G30220	-0.26611715483694953	0.37965285758050094	0.5961812136941882
dmw=11923	AT3G32896	0.5210330358009551	0.172665311909924	0.3539783022126656
dmw=11931	AT3G32904	0.09239511183215776	0.8077342736959159	0.9094844099886775
dmw=12011	AT3G33293	-0.2123679192623052	0.4163653945918171	0.6349251270888843
dmw=12047	AT3G42060	-0.03340889997868814	0.9193433094293885	0.9616299693179634
dmw=12213	AT3G43833	-0.6043419961055141	0.07775235058126137	0.1985028825650498
dmw=12277	AT3G44460	0.030881990259067224	0.8514180225900663	0.9293700726583124
dmw=12286	AT3G44570	0.4894913986076858	0.022410502158538664	0.07932069873851527
dmw=12787	AT3G50570	-0.5353057888965334	0.010990357107162922	0.04613392028639029
dmw=12799	AT3G50710	0.31138219856446653	0.4890502996347498	0.6918822211422497
dmw=12927	AT3G08295	0.016038379268697403	0.9333719117797747	0.9721634500980182
dmw=13505	AT3G09425	0.20826876700642974	0.7228629394781113	0.8640854742926337
dmw=13541	AT3G09565	-0.45850025498277386	0.023629966387754452	0.0822060768085724
dmw=9280	AT3G01120	-0.5903574509565529	0.015162687120688589	0.05860769700712892
dmw=9301	AT3G01350	0.1311922915505442	0.5474479832330765	0.7403811931830595
dmw=9306	AT3G01370	-0.4133405505563406	0.2017459262883022	0.39324444044767476
dmw=9315	AT3G01460	-0.029116335632013907	0.8356701033092132	0.9211875106496534
dmw=9316	AT3G01480	-1.0670341056302601	0.00010781948856708385	0.00140853544638701
dmw=9317	AT3G01500	1.0296731061725577	0.0002245701650767089	0.00231808688875094
dmw=9318	AT3G01500	-0.7849388703339725	3.2741465533374996e-05	0.0005699873108930269
dmw=9318	AT3G01510	-0.48475291763154077	0.0062508864325618195	0.03004324623242593
dmw=9353	AT3G02160	0.5409680823955195	0.0133815659051315	0.053526263620526
dmw=9353	AT3G02170	-0.18132597060066508	0.4594111976319515	0.6660648768501021
dmw=9354	AT3G02170	-0.2535776328289422	0.2352899647461259	0.43253903698838714
dmw=9371	AT3G02280	0.47435309395567704	0.10515367689905433	0.2536909925973256
dmw=9381	AT3G02370	0.37498173312811056	0.18881113970655433	0.3763962330513778
dmw=9382	AT3G02410	-0.9193330747381617	0.0040680501314155565	0.020989771266295393
dmw=9387	AT3G02460	-0.06165517120262599	0.8177404344420696	0.9157799225085341
dmw=9460	AT3G03380	0.2946607516038741	0.3938012230065565	0.611953033073543
dmw=9461	AT3G03380	0.3301221143985092	0.28043960837137444	0.4871001967185966
dmw=9514	AT3G04130	0.09511934757344524	0.737180610979447	0.8734365387575725
dmw=9527	AT3G04300	-0.39829922531101686	0.07389894349375947	0.19226250553037422
dmw=9582	AT3G04870	0.47158236016228505	0.09815866013834329	0.24011720049778
dmw=9585	AT3G04910	-0.4339887505467843	0.0417686879811055	0.12696026940791474
dmw=9591	AT3G05010	0.8051273094656036	0.17328538833419305	0.35406731593076385
dmw=9629	AT3G05410	0.5927666643994806	0.010843497334752324	0.04575881349510603
dmw=9639	AT3G05545	0.49522077762277783	0.12281542553834712	0.282919739795328
dmw=9671	AT3G05750	-0.742264574407906	9.705477873935167e-05	0.0012928837652890896
dmw=9781	AT3G06860	-0.0636016135424668	0.7885943282804111	0.9015999737169059
dmw=9857	AT3G07680	-0.1835098978898661	0.3789732720257398	0.5961812136941882
dmw=9861	AT3G07720	0.33377292695818583	0.17752379770652063	0.3603292951795163
dmw=9901	AT3G08640	-0.6108255192701466	0.0070584542236256835	0.0325856458143321
dmw=9973	AT3G09450	-0.4969238252072188	0.05297617372474309	0.15093907502084575
